qkey,input_prompt,output_token,output_dist,attribute,group,ordinal
RQ4_F1Cb_W42,"Question: Thinking about nutrition research scientists, how often would you say they provide fair and accurate information when making statements about their research
A. All or most of time
B. Some of the time
C. Only a little of the time
D. None of the time
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' B', ' A', ' B', ' B', ' A', ' B', ' B', ' A', ' A', ' B', ' B', ' A', ' A', ' B', ' C', ' B', ' A', ' A', ' A', ' B', ' C', ' D', ' B', ' B', ' A', ' B', ' D', ' B', ' C', ' A', ' B', ' A', ' B', ' B', ' A', ' B', ' B', ' C', ' A', ' A', ' B', ' B', ' A', ' B', ' A', ' A', ' B', ' B', ' A', ' B', ' B', ' A', ' B', ' A', ' B', ' A', ' A', ' B', ' B', ' B', ' C', ' C', ' B', ' B', ' B', ' B', ' C', ' C', ' A', ' B', ' B', ' A', ' A', ' B', ' C', ' B', ' A', ' B', ' B', ' B', ' B', ' B', ' B', ' E', ' A', ' B', ' A', ' A', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' D', ' A', ' A', ' E']","[0.24888344, 0.5818989, 0.1324116, 0.03680606, 0.0245680519732627]",CREGION,South,"[1.0, 2.0, 3.0, 4.0]"
AUTOLKLY_W41,"Question: Within the next 30 years, how likely do you think it is that the type of work that you do will be done by robots or computers? Do you think this will
A. Definitely happen
B. Probably happen
C. Probably not happen
D. Definitely not happen
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' C', ' D', ' B', ' B', ' C', ' C', ' D', ' D', ' C', ' D', ' B', ' C', ' C', ' D', ' C', ' D', ' B', ' B', ' C', ' C', ' A', ' B', ' B', ' C', ' A', ' B', ' B', ' A', ' D', ' A', ' A', ' A', ' D', ' A', ' C', ' D', ' C', ' B', ' C', ' C', ' A', ' B', ' A', ' B', ' A', ' A', ' B', ' C', ' B', ' D', ' C', ' B', ' D', ' B', ' A', ' D', ' A', ' D', ' C', ' C', ' D', ' A', ' C', ' B', ' C', ' D', ' D', ' D', ' D', ' A', ' B', ' C', ' D', ' A', ' D', ' C', ' C', ' A', ' B', ' B', ' B', ' A', ' D', ' B', ' D', ' C', ' C', ' D', ' C', ' D', ' C', ' A', ' A', ' D', ' A', ' C', ' C', ' B', ' C', ' D']","[0.14149685, 0.25081361, 0.35271894, 0.2549706, 0.0058088177407503]",CREGION,South,"[1.0, 2.0, 3.0, 4.0]"
ELDFINANCEF1_W41,"Question: Who do you think will be mostly responsible for paying for the long-term care older Americans may need?
A. Family members
B. Government
C. Older Americans themselves
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' B', ' A', ' A', ' A', ' C', ' A', ' A', ' C', ' A', ' C', ' A', ' B', ' B', ' C', ' C', ' C', ' A', ' C', ' B', ' B', ' C', ' C', ' A', ' C', ' A', ' A', ' A', ' A', ' C', ' B', ' C', ' C', ' B', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' B', ' A', ' A', ' C', ' B', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' C', ' A', ' B', ' C', ' A', ' C', ' B', ' B', ' C', ' C', ' C', ' C', ' C', ' A', ' B', ' A', ' C', ' A', ' C', ' C', ' C', ' B', ' A', ' C', ' A', ' A', ' A', ' A', ' B', ' C', ' C', ' B', ' A', ' A', ' B', ' A', ' C', ' A', ' B', ' A', ' A', ' B', ' A', ' A', ' C', ' A', ' A', ' A']","[0.38710388, 0.27343279, 0.33946333, 0.0008683020807921]",CREGION,South,"[1, 1, 1]"
ESSENBIZF2E_W36,"Question: In general, how important, if at all, is it to you for someone in a top executive business position to be willing to take risks?
A. Essential
B. Important, but not essential
C. Not important
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' B', ' A', ' A', ' A', ' A', ' B', ' B', ' B', ' B', ' C', ' B', ' A', ' A', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' A', ' A', ' B', ' A', ' B', ' A', ' B', ' A', ' A', ' A', ' B', ' B', ' B', ' B', ' A', ' B', ' B', ' A', ' B', ' A', ' B', ' A', ' B', ' B', ' A', ' B', ' B', ' B', ' A', ' A', ' A', ' A', ' B', ' B', ' B', ' B', ' A', ' A', ' A', ' A', ' B', ' B', ' A', ' B', ' A', ' B', ' B', ' A', ' A', ' B', ' A', ' A', ' A', ' B', ' B', ' A', ' B', ' B', ' B', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' B', ' A', ' B', ' B', ' A', ' B', ' B', ' B', ' A', ' B', ' B']","[0.43986605, 0.51859036, 0.04154359, 0.0004722044402178]",CREGION,South,"[1.0, 2.0, 3.0]"
TRAITBIZMF2E_W36,"Question: In general, how do you think being assertive impacts a man's chances of getting a top executive business position?
A. Mostly helps a man's chances
B. Mostly hurts a man's chances
C. Doesn't make much of a difference
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' A', ' D', ' D', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' D', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' C', ' A', ' C', ' A', ' A', ' C', ' C', ' A', ' A', ' A', ' A', ' A', ' D', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' B', ' C', ' A', ' C', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' D', ' D', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' C', ' A', ' A', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' A', ' A']","[0.77240132, 0.04792999, 0.1796687, 0.0470967960911734]",CREGION,South,"[1.0, 2.0, 1.5]"
NEIGHINTERA_W32,"Question: In general, how often, if ever, would you say you have face-to-face conversations with any of your neighbors
A. Every day
B. Several times a week
C. About once a week
D. About once a month
E. Less than once a month
F. Never
G. Refused
Answer as a choice between A.,B.,C.,D.,E.,F.,G.

Answer:","[' B', ' F', ' B', ' C', ' D', ' B', ' B', ' D', ' E', ' C', ' A', ' E', ' D', ' E', ' D', ' C', ' A', ' E', ' E', ' C', ' C', ' F', ' C', ' B', ' B', ' B', ' C', ' C', ' E', ' B', ' D', ' F', ' E', ' B', ' C', ' C', ' E', ' C', ' C', ' C', ' B', ' D', ' A', ' D', ' C', ' A', ' A', ' F', ' E', ' B', ' D', ' B', ' C', ' B', ' C', ' C', ' E', ' E', ' A', ' D', ' B', ' C', ' E', ' B', ' E', ' C', ' D', ' C', ' E', ' C', ' A', ' D', ' D', ' C', ' G', ' C', ' C', ' E', ' D', ' D', ' F', ' E', ' E', ' C', ' C', ' D', ' D', ' C', ' B', ' D', ' E', ' C', ' C', ' D', ' E', ' B', ' B', ' C', ' C', ' C']","[0.06285891, 0.20330238, 0.25072193, 0.18544466, 0.24411553, 0.05355658, 0.0039426196506698]",CREGION,South,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
GAP21Q4_c_W82,"Question: Do you have a favorable or unfavorable opinion of Germany
A. Very favorable
B. Somewhat favorable
C. Somewhat unfavorable
D. Very unfavorable
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' B', ' B', ' A', ' B', ' D', ' D', ' B', ' C', ' B', ' B', ' B', ' B', ' B', ' A', ' B', ' B', ' C', ' D', ' A', ' B', ' B', ' B', ' A', ' C', ' C', ' B', ' B', ' C', ' C', ' B', ' B', ' D', ' B', ' B', ' C', ' C', ' B', ' C', ' B', ' B', ' B', ' B', ' C', ' C', ' B', ' C', ' B', ' B', ' A', ' A', ' D', ' C', ' B', ' B', ' B', ' C', ' A', ' D', ' B', ' C', ' B', ' D', ' B', ' B', ' B', ' C', ' C', ' A', ' D', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' B', ' C', ' B', ' C', ' B', ' B', ' D', ' C', ' C', ' B', ' B', ' C', ' B', ' B']","[0.10796064, 0.57884116, 0.24731053, 0.06588767, 0.0304253308569034]",CREGION,South,"[1.0, 2.0, 3.0, 4.0]"
RACESURV47e_W43,"Question: For each, please indicate if you, personally, think it is acceptable. A person wearing traditional dress from a country or culture other than their own as part of a Halloween costume
A. Always acceptable
B. Sometimes acceptable
C. Rarely acceptable
D. Never acceptable
E. Not sure
F. Refused
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' B', ' C', ' E', ' D', ' D', ' C', ' B', ' A', ' E', ' D', ' A', ' C', ' A', ' A', ' C', ' B', ' B', ' B', ' C', ' A', ' D', ' C', ' D', ' A', ' A', ' A', ' A', ' A', ' A', ' D', ' C', ' C', ' B', ' E', ' B', ' C', ' D', ' D', ' C', ' E', ' C', ' B', ' D', ' A', ' D', ' C', ' E', ' E', ' B', ' A', ' B', ' E', ' B', ' D', ' A', ' A', ' B', ' B', ' A', ' C', ' B', ' D', ' D', ' E', ' A', ' B', ' D', ' E', ' A', ' B', ' B', ' E', ' D', ' B', ' B', ' B', ' D', ' B', ' A', ' B', ' B', ' E', ' D', ' A', ' B', ' E', ' C', ' A', ' B', ' C', ' B', ' E', ' A', ' D', ' B', ' E', ' B', ' A', ' A', ' E']","[0.29812024, 0.35825525, 0.19012192, 0.15350259, 0.1335255823188566]",CREGION,South,"[1.0, 2.0, 3.0, 4.0]"
GAP21Q41_W82,"Question: Overall, do you think current economic relations between the US and China are very good, somewhat good, somewhat bad or very bad?
A. Very good
B. Somewhat good
C. Somewhat bad
D. Very bad
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' B', ' B', ' D', ' B', ' D', ' B', ' B', ' B', ' C', ' B', ' C', ' B', ' E', ' C', ' C', ' C', ' C', ' B', ' D', ' B', ' B', ' C', ' C', ' C', ' D', ' C', ' B', ' C', ' C', ' D', ' D', ' C', ' B', ' D', ' C', ' B', ' B', ' C', ' B', ' A', ' A', ' D', ' B', ' D', ' B', ' B', ' C', ' B', ' C', ' B', ' C', ' C', ' D', ' B', ' C', ' C', ' B', ' C', ' C', ' C', ' B', ' C', ' C', ' D', ' B', ' C', ' C', ' B', ' C', ' B', ' C', ' C', ' C', ' C', ' B', ' C', ' B', ' B', ' C', ' B', ' B', ' C', ' B', ' C', ' C', ' B', ' C', ' B', ' B', ' C', ' B', ' C', ' C', ' B', ' D', ' B', ' C', ' D', ' C']","[0.02407871, 0.34645984, 0.48217292, 0.14728852, 0.0186643737330433]",CREGION,South,"[1.0, 2.0, 3.0, 4.0]"
INFOCREATEa_W45,"Question: How much made-up news and information do you think is created by journalists
A. A lot
B. Some
C. Not much
D. None
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' A', ' B', ' B', ' A', ' B', ' C', ' B', ' B', ' A', ' A', ' C', ' C', ' A', ' B', ' A', ' A', ' C', ' B', ' A', ' A', ' B', ' A', ' C', ' A', ' A', ' A', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' A', ' A', ' A', ' B', ' B', ' A', ' A', ' B', ' A', ' B', ' A', ' A', ' A', ' C', ' C', ' A', ' C', ' C', ' C', ' A', ' B', ' B', ' C', ' B', ' B', ' A', ' C', ' B', ' A', ' B', ' B', ' B', ' B', ' B', ' A', ' C', ' B', ' B', ' A', ' A', ' C', ' B', ' C', ' B', ' C', ' B', ' A', ' B', ' A', ' B', ' B', ' A', ' B', ' A', ' A', ' A', ' E', ' A', ' B', ' C', ' B', ' B', ' A', ' B']","[0.40225639, 0.40112301, 0.1966206, 0.0, 0.0056531166999663]",CREGION,South,"[1.0, 2.0, 3.0, 4.0]"
