qkey,input_prompt,output_token,output_dist,attribute,group,ordinal
RQ4_F1Cb_W42,"Question: Thinking about nutrition research scientists, how often would you say they provide fair and accurate information when making statements about their research
A. All or most of time
B. Some of the time
C. Only a little of the time
D. None of the time
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' A', ' B', ' C', ' B', ' B', ' A', ' A', ' B', ' A', ' B', ' B', ' B', ' B', ' B', ' B', ' A', ' A', ' C', ' B', ' C', ' B', ' B', ' B', ' B', ' B', ' E', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' A', ' B', ' A', ' B', ' B', ' B', ' A', ' B', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' B', ' A', ' C', ' B', ' B', ' A', ' B', ' B', ' B', ' A', ' C', ' B', ' B', ' A', ' B', ' B', ' A', ' B', ' B', ' B', ' B', ' B', ' A', ' C', ' B', ' B', ' C', ' A', ' B', ' A', ' A', ' A', ' B', ' B', ' B', ' B', ' B', ' A', ' B', ' B', ' A', ' C', ' B', ' A', ' C', ' A', ' B', ' B', ' A', ' C', ' B']","[0.26576077, 0.55456132, 0.1729075, 0.00677041, 0.0195892263433392]",INCOME,"$100,000 or more","[1.0, 2.0, 3.0, 4.0]"
AUTOLKLY_W41,"Question: Within the next 30 years, how likely do you think it is that the type of work that you do will be done by robots or computers? Do you think this will
A. Definitely happen
B. Probably happen
C. Probably not happen
D. Definitely not happen
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' B', ' A', ' D', ' C', ' B', ' C', ' D', ' D', ' B', ' C', ' C', ' C', ' B', ' C', ' B', ' D', ' C', ' C', ' C', ' D', ' C', ' D', ' D', ' C', ' B', ' B', ' C', ' C', ' D', ' C', ' C', ' B', ' C', ' C', ' C', ' C', ' C', ' B', ' D', ' D', ' A', ' A', ' C', ' C', ' D', ' B', ' B', ' C', ' C', ' B', ' B', ' C', ' D', ' B', ' D', ' D', ' C', ' D', ' D', ' C', ' D', ' D', ' A', ' D', ' C', ' C', ' D', ' C', ' C', ' D', ' C', ' C', ' C', ' C', ' D', ' B', ' C', ' B', ' D', ' C', ' D', ' C', ' D', ' C', ' C', ' C', ' C', ' D', ' C', ' D', ' D', ' B', ' C', ' A', ' C', ' C', ' D', ' D', ' B']","[0.06508568, 0.17571542, 0.43892587, 0.32027303, 0.0006613395949858]",INCOME,"$100,000 or more","[1.0, 2.0, 3.0, 4.0]"
ELDFINANCEF1_W41,"Question: Who do you think will be mostly responsible for paying for the long-term care older Americans may need?
A. Family members
B. Government
C. Older Americans themselves
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' C', ' B', ' B', ' A', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' C', ' B', ' B', ' C', ' C', ' D', ' A', ' B', ' A', ' B', ' A', ' B', ' C', ' B', ' C', ' B', ' A', ' A', ' B', ' A', ' C', ' A', ' A', ' C', ' C', ' B', ' D', ' B', ' B', ' C', ' C', ' C', ' C', ' C', ' B', ' C', ' C', ' A', ' B', ' C', ' C', ' C', ' C', ' B', ' B', ' C', ' C', ' B', ' A', ' B', ' B', ' B', ' A', ' C', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' C', ' A', ' C', ' A', ' A', ' B', ' C', ' B', ' C', ' C', ' C', ' C', ' A', ' C', ' C', ' B', ' A', ' C', ' C', ' C', ' A']","[0.29512825, 0.2886687, 0.41620305, 0.0042819693160003]",INCOME,"$100,000 or more","[1, 1, 1]"
ESSENBIZF2E_W36,"Question: In general, how important, if at all, is it to you for someone in a top executive business position to be willing to take risks?
A. Essential
B. Important, but not essential
C. Not important
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' B', ' A', ' B', ' B', ' B', ' B', ' B', ' B', ' A', ' B', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' C', ' A', ' B', ' B', ' C', ' B', ' A', ' B', ' A', ' A', ' B', ' B', ' B', ' C', ' B', ' B', ' A', ' B', ' A', ' B', ' B', ' B', ' A', ' A', ' A', ' C', ' B', ' A', ' A', ' B', ' B', ' B', ' B', ' A', ' A', ' B', ' A', ' A', ' B', ' B', ' C', ' A', ' B', ' B', ' A', ' A', ' A', ' A', ' A', ' B', ' B', ' A', ' B', ' B', ' A', ' A', ' B', ' A', ' B', ' B', ' A', ' A', ' B', ' A', ' A', ' A', ' B', ' B', ' A', ' B', ' B', ' C', ' B', ' A', ' B', ' B', ' B', ' A', ' B', ' B', ' A', ' A', ' A']","[0.44873678, 0.51010914, 0.04115409, 0.0]",INCOME,"$100,000 or more","[1.0, 2.0, 3.0]"
TRAITBIZMF2E_W36,"Question: In general, how do you think being assertive impacts a man's chances of getting a top executive business position?
A. Mostly helps a man's chances
B. Mostly hurts a man's chances
C. Doesn't make much of a difference
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' A', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' A', ' A', ' D', ' A', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' C', ' C']","[0.85476491, 0.01713445, 0.12810064, 0.0096311058423051]",INCOME,"$100,000 or more","[1.0, 2.0, 1.5]"
NEIGHINTERA_W32,"Question: In general, how often, if ever, would you say you have face-to-face conversations with any of your neighbors
A. Every day
B. Several times a week
C. About once a week
D. About once a month
E. Less than once a month
F. Never
G. Refused
Answer as a choice between A.,B.,C.,D.,E.,F.,G.

Answer:","[' D', ' B', ' D', ' D', ' D', ' B', ' C', ' D', ' B', ' D', ' C', ' E', ' E', ' B', ' D', ' D', ' D', ' A', ' C', ' D', ' C', ' C', ' B', ' E', ' C', ' C', ' D', ' D', ' D', ' C', ' E', ' D', ' E', ' E', ' D', ' B', ' D', ' C', ' C', ' C', ' E', ' B', ' C', ' E', ' C', ' D', ' E', ' B', ' C', ' C', ' C', ' D', ' B', ' C', ' B', ' B', ' D', ' E', ' E', ' D', ' D', ' E', ' C', ' E', ' F', ' D', ' D', ' B', ' C', ' B', ' D', ' E', ' D', ' B', ' D', ' B', ' D', ' D', ' B', ' C', ' C', ' D', ' D', ' D', ' E', ' E', ' B', ' E', ' D', ' E', ' D', ' E', ' E', ' C', ' C', ' D', ' D', ' E', ' E', ' E']","[0.03351381, 0.18496219, 0.26792693, 0.24559058, 0.24754576, 0.02046073, 0.0023798924310643]",INCOME,"$100,000 or more","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
GAP21Q4_c_W82,"Question: Do you have a favorable or unfavorable opinion of Germany
A. Very favorable
B. Somewhat favorable
C. Somewhat unfavorable
D. Very unfavorable
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' A', ' B', ' B', ' B', ' B', ' B', ' D', ' C', ' A', ' B', ' B', ' B', ' B', ' B', ' B', ' A', ' B', ' B', ' B', ' B', ' C', ' A', ' B', ' C', ' A', ' A', ' B', ' B', ' A', ' B', ' B', ' B', ' B', ' C', ' A', ' B', ' E', ' B', ' B', ' B', ' B', ' B', ' B', ' A', ' D', ' B', ' B', ' B', ' B', ' C', ' D', ' B', ' B', ' B', ' C', ' C', ' D', ' C', ' C', ' B', ' B', ' B', ' A', ' A', ' A', ' B', ' B', ' A', ' B', ' B', ' A', ' A', ' A', ' A', ' B', ' C', ' B', ' D', ' B', ' A', ' B', ' A', ' B', ' A', ' C', ' B', ' C', ' B', ' B', ' B', ' A', ' B', ' E', ' A', ' B', ' C', ' A', ' A', ' B']","[0.1651852, 0.60414673, 0.18671188, 0.04395619, 0.0123325686738852]",INCOME,"$100,000 or more","[1.0, 2.0, 3.0, 4.0]"
RACESURV47e_W43,"Question: For each, please indicate if you, personally, think it is acceptable. A person wearing traditional dress from a country or culture other than their own as part of a Halloween costume
A. Always acceptable
B. Sometimes acceptable
C. Rarely acceptable
D. Never acceptable
E. Not sure
F. Refused
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' C', ' D', ' D', ' B', ' E', ' A', ' B', ' B', ' A', ' B', ' E', ' D', ' D', ' C', ' D', ' A', ' E', ' B', ' B', ' D', ' D', ' D', ' C', ' B', ' A', ' B', ' D', ' A', ' B', ' B', ' D', ' E', ' C', ' A', ' B', ' C', ' B', ' D', ' E', ' A', ' D', ' D', ' C', ' A', ' B', ' A', ' E', ' B', ' C', ' B', ' A', ' B', ' C', ' C', ' A', ' B', ' B', ' C', ' C', ' E', ' B', ' A', ' E', ' A', ' C', ' A', ' C', ' E', ' A', ' B', ' B', ' B', ' A', ' B', ' B', ' A', ' E', ' A', ' C', ' C', ' B', ' E', ' B', ' B', ' B', ' B', ' A', ' D', ' E', ' D', ' C', ' B', ' B', ' A', ' A', ' D', ' D', ' B', ' A', ' B']","[0.33183314, 0.37144671, 0.1787268, 0.11799335, 0.0716719437292559]",INCOME,"$100,000 or more","[1.0, 2.0, 3.0, 4.0]"
GAP21Q41_W82,"Question: Overall, do you think current economic relations between the US and China are very good, somewhat good, somewhat bad or very bad?
A. Very good
B. Somewhat good
C. Somewhat bad
D. Very bad
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' C', ' C', ' D', ' C', ' C', ' C', ' C', ' C', ' C', ' B', ' C', ' C', ' C', ' C', ' C', ' C', ' C', ' C', ' B', ' B', ' B', ' C', ' B', ' C', ' C', ' C', ' B', ' C', ' D', ' C', ' B', ' B', ' D', ' C', ' D', ' C', ' B', ' C', ' C', ' D', ' C', ' B', ' C', ' B', ' C', ' D', ' B', ' B', ' C', ' B', ' B', ' C', ' B', ' C', ' D', ' C', ' B', ' B', ' B', ' C', ' B', ' C', ' D', ' D', ' D', ' C', ' D', ' B', ' B', ' C', ' D', ' C', ' C', ' D', ' C', ' C', ' B', ' B', ' C', ' C', ' C', ' D', ' C', ' B', ' C', ' B', ' C', ' D', ' C', ' C', ' C', ' C', ' C', ' C', ' C', ' C', ' C', ' B', ' C', ' C']","[0.0, 0.26151995, 0.6056011, 0.13287895, 0.005768811528167]",INCOME,"$100,000 or more","[1.0, 2.0, 3.0, 4.0]"
INFOCREATEa_W45,"Question: How much made-up news and information do you think is created by journalists
A. A lot
B. Some
C. Not much
D. None
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' A', ' A', ' C', ' C', ' B', ' B', ' C', ' A', ' B', ' C', ' B', ' B', ' B', ' B', ' A', ' A', ' B', ' A', ' B', ' A', ' C', ' B', ' A', ' C', ' B', ' B', ' B', ' C', ' C', ' B', ' A', ' B', ' A', ' C', ' A', ' C', ' B', ' C', ' B', ' C', ' B', ' C', ' A', ' B', ' B', ' C', ' C', ' C', ' B', ' C', ' B', ' C', ' C', ' B', ' C', ' C', ' C', ' B', ' C', ' A', ' A', ' C', ' A', ' B', ' A', ' A', ' A', ' C', ' B', ' B', ' B', ' C', ' A', ' C', ' C', ' B', ' C', ' C', ' C', ' B', ' A', ' B', ' C', ' A', ' A', ' A', ' C', ' C', ' C', ' A', ' B', ' A', ' C', ' A', ' A', ' A', ' A', ' C', ' B']","[0.34202137, 0.34821584, 0.30976278, 0.0, 0.0034717789265771]",INCOME,"$100,000 or more","[1.0, 2.0, 3.0, 4.0]"
