qkey,input_prompt,output_token,output_dist,attribute,group,ordinal
RQ4_F1Cb_W42,"Question: Thinking about nutrition research scientists, how often would you say they provide fair and accurate information when making statements about their research
A. All or most of time
B. Some of the time
C. Only a little of the time
D. None of the time
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' A', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' C', ' A', ' B', ' A', ' B', ' B', ' B', ' A', ' A', ' A', ' B', ' A', ' A', ' B', ' B', ' B', ' B', ' A', ' A', ' B', ' B', ' A', ' A', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' D', ' A', ' B', ' B', ' B', ' B', ' A', ' B', ' B', ' B', ' A', ' B', ' A', ' B', ' B', ' B', ' A', ' A', ' E', ' B', ' B', ' C', ' A', ' B', ' B', ' E', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' A', ' B', ' A', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' A', ' A', ' B', ' B', ' A', ' C', ' A', ' B', ' B', ' A', ' D', ' B', ' A', ' B', ' C', ' C', ' B']","[0.25223383, 0.5702642, 0.1498273, 0.02767466, 0.026509350193735]",POLIDEOLOGY,Moderate,"[1.0, 2.0, 3.0, 4.0]"
AUTOLKLY_W41,"Question: Within the next 30 years, how likely do you think it is that the type of work that you do will be done by robots or computers? Do you think this will
A. Definitely happen
B. Probably happen
C. Probably not happen
D. Definitely not happen
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' C', ' C', ' A', ' D', ' B', ' C', ' B', ' C', ' C', ' C', ' A', ' B', ' D', ' D', ' C', ' D', ' D', ' A', ' D', ' D', ' D', ' D', ' C', ' B', ' B', ' D', ' B', ' B', ' D', ' C', ' C', ' D', ' B', ' C', ' B', ' B', ' B', ' A', ' D', ' B', ' D', ' D', ' B', ' A', ' D', ' C', ' B', ' B', ' C', ' D', ' A', ' B', ' C', ' A', ' C', ' D', ' B', ' C', ' C', ' C', ' A', ' A', ' B', ' D', ' C', ' A', ' B', ' A', ' C', ' B', ' B', ' B', ' C', ' A', ' B', ' D', ' C', ' C', ' D', ' C', ' C', ' B', ' B', ' C', ' C', ' B', ' B', ' D', ' C', ' C', ' B', ' C', ' B', ' C', ' B', ' B', ' C', ' C', ' C', ' C']","[0.15400168, 0.25372413, 0.35582864, 0.23644555, 0.0053382210028569]",POLIDEOLOGY,Moderate,"[1.0, 2.0, 3.0, 4.0]"
ELDFINANCEF1_W41,"Question: Who do you think will be mostly responsible for paying for the long-term care older Americans may need?
A. Family members
B. Government
C. Older Americans themselves
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' C', ' A', ' A', ' B', ' C', ' C', ' A', ' C', ' A', ' C', ' B', ' A', ' A', ' C', ' A', ' B', ' C', ' B', ' B', ' B', ' B', ' A', ' B', ' B', ' C', ' C', ' C', ' A', ' B', ' B', ' C', ' B', ' C', ' C', ' B', ' A', ' C', ' A', ' C', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' C', ' C', ' C', ' C', ' C', ' A', ' A', ' A', ' C', ' B', ' C', ' A', ' C', ' C', ' C', ' A', ' C', ' C', ' C', ' C', ' B', ' A', ' A', ' C', ' D', ' A', ' C', ' B', ' A', ' B', ' B', ' B', ' B', ' C', ' A', ' B', ' C', ' A', ' B', ' C', ' C', ' B', ' A', ' A', ' C', ' C', ' C', ' A', ' B', ' A', ' B', ' B', ' B']","[0.39956763, 0.26428181, 0.33615056, 0.0084812151963385]",POLIDEOLOGY,Moderate,"[1, 1, 1]"
ESSENBIZF2E_W36,"Question: In general, how important, if at all, is it to you for someone in a top executive business position to be willing to take risks?
A. Essential
B. Important, but not essential
C. Not important
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' A', ' A', ' A', ' B', ' A', ' A', ' A', ' B', ' A', ' B', ' A', ' B', ' A', ' A', ' A', ' B', ' A', ' B', ' A', ' A', ' B', ' C', ' B', ' C', ' C', ' B', ' B', ' C', ' B', ' A', ' A', ' B', ' B', ' B', ' A', ' B', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' B', ' B', ' B', ' A', ' B', ' A', ' B', ' A', ' A', ' B', ' A', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' B', ' A', ' B', ' A', ' A', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' B', ' B', ' B', ' A', ' B', ' B', ' B', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' B', ' B']","[0.44503885, 0.48990058, 0.06506057, 0.0]",POLIDEOLOGY,Moderate,"[1.0, 2.0, 3.0]"
TRAITBIZMF2E_W36,"Question: In general, how do you think being assertive impacts a man's chances of getting a top executive business position?
A. Mostly helps a man's chances
B. Mostly hurts a man's chances
C. Doesn't make much of a difference
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' C', ' A', ' A', ' C', ' A', ' D', ' A', ' C', ' C', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' A', ' C', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' C', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' A', ' A', ' C', ' C', ' C', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' A', ' C', ' A', ' C', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' C', ' D', ' A', ' A', ' C', ' C', ' A', ' A', ' A', ' A']","[0.73019532, 0.05236093, 0.21744375, 0.0246035988094836]",POLIDEOLOGY,Moderate,"[1.0, 2.0, 1.5]"
NEIGHINTERA_W32,"Question: In general, how often, if ever, would you say you have face-to-face conversations with any of your neighbors
A. Every day
B. Several times a week
C. About once a week
D. About once a month
E. Less than once a month
F. Never
G. Refused
Answer as a choice between A.,B.,C.,D.,E.,F.,G.

Answer:","[' A', ' B', ' C', ' C', ' C', ' E', ' E', ' C', ' C', ' D', ' E', ' D', ' C', ' C', ' C', ' D', ' B', ' D', ' B', ' D', ' C', ' C', ' E', ' D', ' C', ' D', ' E', ' B', ' D', ' E', ' C', ' E', ' B', ' E', ' B', ' B', ' B', ' B', ' C', ' E', ' A', ' D', ' C', ' E', ' E', ' A', ' E', ' B', ' E', ' B', ' E', ' B', ' E', ' E', ' D', ' C', ' E', ' D', ' E', ' C', ' C', ' B', ' E', ' A', ' C', ' D', ' C', ' C', ' C', ' A', ' D', ' E', ' E', ' C', ' C', ' B', ' C', ' D', ' C', ' B', ' D', ' E', ' C', ' D', ' A', ' B', ' E', ' D', ' E', ' B', ' B', ' B', ' C', ' A', ' E', ' C', ' D', ' E', ' E', ' C']","[0.06474048, 0.19158002, 0.23670604, 0.20795606, 0.26147169, 0.03754571, 0.0049550826394977]",POLIDEOLOGY,Moderate,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
GAP21Q4_c_W82,"Question: Do you have a favorable or unfavorable opinion of Germany
A. Very favorable
B. Somewhat favorable
C. Somewhat unfavorable
D. Very unfavorable
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' B', ' A', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' A', ' C', ' B', ' D', ' C', ' C', ' A', ' C', ' D', ' B', ' B', ' B', ' C', ' C', ' C', ' A', ' B', ' A', ' B', ' B', ' B', ' A', ' B', ' C', ' A', ' B', ' B', ' B', ' B', ' D', ' D', ' A', ' C', ' C', ' A', ' C', ' B', ' B', ' C', ' A', ' C', ' C', ' E', ' B', ' C', ' A', ' C', ' B', ' A', ' B', ' B', ' C', ' B', ' D', ' C', ' C', ' B', ' B', ' A', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' A', ' B', ' B', ' B', ' C', ' B', ' B', ' A', ' B', ' A', ' C', ' A', ' E', ' A']","[0.14070479, 0.58507617, 0.22267355, 0.05154548, 0.0289364988891993]",POLIDEOLOGY,Moderate,"[1.0, 2.0, 3.0, 4.0]"
RACESURV47e_W43,"Question: For each, please indicate if you, personally, think it is acceptable. A person wearing traditional dress from a country or culture other than their own as part of a Halloween costume
A. Always acceptable
B. Sometimes acceptable
C. Rarely acceptable
D. Never acceptable
E. Not sure
F. Refused
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' A', ' D', ' E', ' A', ' D', ' B', ' D', ' A', ' B', ' B', ' C', ' A', ' B', ' D', ' B', ' B', ' A', ' B', ' B', ' A', ' A', ' A', ' B', ' B', ' D', ' B', ' B', ' B', ' B', ' B', ' E', ' E', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' B', ' C', ' D', ' A', ' A', ' A', ' A', ' E', ' C', ' E', ' A', ' A', ' E', ' A', ' B', ' B', ' B', ' C', ' D', ' A', ' A', ' B', ' A', ' B', ' D', ' B', ' A', ' A', ' A', ' E', ' B', ' A', ' A', ' D', ' D', ' A', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' D', ' E', ' D', ' A', ' B', ' C', ' B', ' B', ' D', ' D', ' A', ' C', ' B', ' E', ' A', ' B', ' A', ' C']","[0.2913619, 0.40362982, 0.16003916, 0.14496912, 0.1428848813185016]",POLIDEOLOGY,Moderate,"[1.0, 2.0, 3.0, 4.0]"
GAP21Q41_W82,"Question: Overall, do you think current economic relations between the US and China are very good, somewhat good, somewhat bad or very bad?
A. Very good
B. Somewhat good
C. Somewhat bad
D. Very bad
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' C', ' B', ' B', ' C', ' D', ' D', ' B', ' C', ' C', ' D', ' C', ' C', ' B', ' C', ' D', ' C', ' C', ' C', ' C', ' B', ' D', ' C', ' C', ' B', ' C', ' C', ' B', ' B', ' C', ' C', ' B', ' B', ' C', ' B', ' C', ' C', ' C', ' B', ' C', ' C', ' C', ' A', ' B', ' C', ' C', ' C', ' C', ' C', ' C', ' C', ' C', ' C', ' C', ' C', ' C', ' B', ' C', ' C', ' C', ' C', ' C', ' B', ' D', ' C', ' B', ' C', ' C', ' C', ' C', ' D', ' C', ' B', ' B', ' C', ' C', ' B', ' C', ' C', ' B', ' D', ' B', ' B', ' C', ' D', ' B', ' B', ' D', ' B', ' B', ' D', ' B', ' C', ' C', ' C', ' C', ' C', ' C', ' B', ' C', ' B']","[0.01016333, 0.34446703, 0.53032969, 0.11503994, 0.0120443846907435]",POLIDEOLOGY,Moderate,"[1.0, 2.0, 3.0, 4.0]"
INFOCREATEa_W45,"Question: How much made-up news and information do you think is created by journalists
A. A lot
B. Some
C. Not much
D. None
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' A', ' B', ' B', ' B', ' B', ' B', ' B', ' A', ' B', ' B', ' B', ' A', ' C', ' A', ' B', ' B', ' B', ' C', ' B', ' A', ' A', ' C', ' C', ' B', ' B', ' B', ' A', ' B', ' B', ' B', ' C', ' A', ' A', ' A', ' B', ' C', ' B', ' A', ' B', ' C', ' B', ' B', ' A', ' B', ' A', ' A', ' B', ' B', ' B', ' A', ' A', ' A', ' B', ' A', ' A', ' B', ' A', ' B', ' B', ' A', ' C', ' C', ' A', ' C', ' B', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' B', ' B', ' A', ' B', ' B', ' B', ' B', ' C', ' C', ' C', ' B', ' C', ' C', ' B', ' B', ' A', ' A', ' B', ' B', ' A', ' A', ' B', ' B', ' A', ' B', ' C', ' A', ' C']","[0.33374506, 0.47088907, 0.19536587, 0.0, 0.0076829485097589]",POLIDEOLOGY,Moderate,"[1.0, 2.0, 3.0, 4.0]"
