qkey,input_prompt,output_token,output_dist,attribute,group,ordinal
FREECOLL_W92,"Question: Would you favor or oppose making tuition at public colleges and universities free for all American students?
A. Strongly favor
B. Somewhat favor
C. Somewhat oppose
D. Strongly oppose
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' A', ' A', ' A', ' A', ' B', ' C', ' A', ' B', ' A', ' B', ' A', ' B', ' A', ' B', ' D', ' B', ' D', ' C', ' D', ' B', ' B', ' A', ' D', ' D', ' A', ' B', ' C', ' C', ' B', ' B', ' A', ' A', ' C', ' D', ' A', ' A', ' C', ' C', ' A', ' C', ' A', ' B', ' B', ' A', ' D', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' C', ' B', ' C', ' D', ' B', ' A', ' B', ' B', ' A', ' B', ' B', ' A', ' D', ' A', ' D', ' A', ' B', ' A', ' A', ' C', ' B', ' A', ' A', ' B', ' A', ' B', ' D', ' B', ' D', ' C', ' D', ' C', ' A', ' B', ' B', ' B', ' B', ' B', ' A', ' A', ' A', ' A', ' A', ' A']","[0.51817735, 0.2857217, 0.12827064, 0.06783031, 0.0017150724607599]",RELIG,Atheist,"[1.0, 2.0, 3.0, 4.0]"
FUD22_W34,"Question: How much of the food you eat is organic?
A. Most of it
B. Some of it
C. Not too much
D. None at all
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' C', ' C', ' C', ' C', ' C', ' B', ' B', ' B', ' D', ' A', ' D', ' B', ' A', ' D', ' D', ' B', ' D', ' A', ' C', ' C', ' C', ' C', ' B', ' C', ' C', ' C', ' C', ' B', ' C', ' C', ' D', ' B', ' C', ' B', ' C', ' B', ' B', ' D', ' C', ' B', ' D', ' B', ' D', ' D', ' A', ' C', ' C', ' C', ' D', ' B', ' C', ' A', ' C', ' C', ' C', ' B', ' C', ' B', ' C', ' B', ' C', ' C', ' D', ' C', ' B', ' B', ' B', ' B', ' C', ' C', ' A', ' C', ' B', ' B', ' C', ' C', ' C', ' D', ' B', ' D', ' C', ' C', ' C', ' C', ' B', ' C', ' C', ' B', ' B', ' D', ' B', ' C', ' C', ' B', ' B', ' D', ' B', ' D', ' C', ' C']","[0.04854363, 0.28808875, 0.48887569, 0.17449193, 0.0]",RELIG,Atheist,"[1.0, 2.0, 3.0, 4.0]"
FAMSURV39_W50,"Question: In general, how much, if at all, would you say that you rely on a parent for emotional support?
A. A lot
B. Some
C. Only a little
D. Not at all
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' D', ' C', ' D', ' D', ' C', ' D', ' A', ' A', ' C', ' D', ' B', ' C', ' D', ' C', ' D', ' C', ' A', ' D', ' C', ' C', ' A', ' C', ' C', ' D', ' C', ' B', ' C', ' B', ' D', ' B', ' C', ' C', ' D', ' B', ' D', ' D', ' A', ' D', ' D', ' D', ' B', ' D', ' A', ' C', ' D', ' B', ' D', ' D', ' D', ' D', ' D', ' D', ' C', ' A', ' D', ' B', ' C', ' D', ' C', ' C', ' C', ' A', ' C', ' D', ' D', ' D', ' C', ' C', ' C', ' B', ' C', ' D', ' B', ' D', ' D', ' B', ' C', ' B', ' B', ' D', ' C', ' C', ' C', ' D', ' C', ' D', ' B', ' D', ' B', ' D', ' C', ' A', ' D', ' D', ' C', ' D', ' B', ' D', ' D', ' A']","[0.13410204, 0.12291183, 0.36521684, 0.37776929, 0.0]",RELIG,Atheist,"[1.0, 2.0, 3.0, 4.0]"
GUNRESPNOKIDSD_W26,"Question: Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors that there are guns in the house
A. Essential
B. Important but not essential
C. Not important
D. Should not be done
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' C', ' A', ' D', ' D', ' C', ' C', ' A', ' B', ' B', ' C', ' A', ' D', ' C', ' C', ' A', ' C', ' C', ' C', ' D', ' A', ' B', ' C', ' C', ' A', ' C', ' D', ' D', ' A', ' C', ' C', ' A', ' C', ' C', ' D', ' C', ' B', ' B', ' D', ' C', ' C', ' A', ' C', ' D', ' C', ' B', ' C', ' C', ' C', ' A', ' A', ' B', ' C', ' D', ' D', ' C', ' C', ' C', ' A', ' C', ' A', ' D', ' C', ' C', ' B', ' C', ' C', ' B', ' C', ' B', ' D', ' C', ' B', ' D', ' D', ' B', ' D', ' C', ' A', ' D', ' D', ' C', ' C', ' B', ' B', ' C', ' C', ' C', ' D', ' C', ' C', ' C', ' C', ' D', ' C', ' C', ' D', ' D', ' C', ' D', ' B']","[0.11022303, 0.17672553, 0.49531919, 0.21773225, 0.0028024379714027]",RELIG,Atheist,"[1.0, 2.0, 3.0, 4.0]"
GAP21Q38_c_W82,"Question: How much, if at all, do you think the US benefits from being a member of the World Health Organization, or WHO organizations?
A. A great deal
B. A fair amount
C. Not too much
D. Not at all
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' A', ' A', ' B', ' C', ' A', ' A', ' A', ' A', ' E', ' A', ' D', ' A', ' A', ' B', ' A', ' A', ' B', ' A', ' B', ' B', ' A', ' A', ' A', ' C', ' B', ' B', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' B', ' B', ' A', ' A', ' A', ' D', ' B', ' A', ' C', ' B', ' A', ' B', ' A', ' B', ' A', ' B', ' C', ' B', ' B', ' B', ' A', ' B', ' A', ' B', ' A', ' E', ' B', ' A', ' A', ' C', ' A', ' B', ' B', ' B', ' A', ' C', ' A', ' C', ' B', ' B', ' A', ' C', ' C', ' C', ' D', ' B', ' A', ' B', ' B', ' C', ' C', ' B', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A']","[0.45183329, 0.39974082, 0.09524558, 0.05318032, 0.0142902680537817]",RELIG,Atheist,"[1.0, 2.0, 3.0, 4.0]"
DATAUSEd_W49,"Question: Do you think the following uses of data/information are acceptable or unacceptable? Makers of a fitness tracking app sharing their users' data with medical researchers seeking to better understand the link between exercise and heart disease
A. Acceptable
B. Unacceptable
C. Not sure
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' A', ' B', ' B', ' B', ' B', ' A', ' B', ' A', ' B', ' B', ' B', ' A', ' A', ' B', ' A', ' A', ' A', ' B', ' B', ' B', ' B', ' A', ' B', ' A', ' A', ' B', ' B', ' A', ' B', ' C', ' B', ' C', ' A', ' B', ' A', ' B', ' C', ' B', ' B', ' B', ' B', ' A', ' B', ' B', ' B', ' A', ' A', ' B', ' C', ' C', ' B', ' B', ' C', ' A', ' A', ' A', ' B', ' B', ' B', ' B', ' A', ' C', ' A', ' A', ' B', ' B', ' A', ' A', ' B', ' C', ' B', ' A', ' B', ' B', ' A', ' B', ' A', ' B', ' B', ' C', ' A', ' A', ' A', ' C', ' B', ' C', ' B', ' A', ' A', ' B', ' A', ' A', ' B', ' B', ' B', ' B', ' A', ' B', ' A', ' B']","[0.46931144, 0.53068856, 0.1803657555505158]",RELIG,Atheist,"[1.0, 2.0]"
GOVPRIOoF2_W41,"Question: If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to dealing with climate change?
A. A top priority
B. An important, but not a top priority
C. A lower priority
D. Should not be done
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' A', ' A', ' B', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' B', ' A', ' A', ' B', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' B', ' A', ' A', ' B', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A']","[0.78187573, 0.19019447, 0.0279298, 0.0, 0.0]",RELIG,Atheist,"[1.0, 2.0, 3.0, 4.0]"
ELDFINANCEF2_W41,"Question: Who do you think should be mostly responsible for paying for the long-term care older Americans may need?
A. Family members
B. Government
C. Older Americans themselves
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' B', ' B', ' B', ' A', ' B', ' B', ' B', ' B', ' C', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' C', ' B', ' C', ' B', ' A', ' B', ' B', ' B', ' B', ' C', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' B', ' C', ' B', ' C', ' C', ' C', ' C', ' C', ' C', ' C', ' B', ' A', ' C', ' B', ' B', ' C', ' C', ' C', ' C', ' C', ' C', ' B', ' C', ' C', ' C', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' D', ' C', ' B', ' B', ' B', ' D', ' C', ' C', ' B', ' C', ' B', ' B', ' B', ' B', ' B', ' C', ' C', ' C', ' C', ' C', ' C', ' C', ' B']","[0.02395862, 0.57763858, 0.3984028, 0.0122877236519773]",RELIG,Atheist,"[1, 1, 1]"
HAPPEN2b_W41,"Question: How likely do you think it is that the following will happen in the next 30 years? The world will face a major energy crisis
A. Will definitely happen
B. Will probably happen
C. Will probably not happen
D. Will definitely not happen
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' A', ' C', ' B', ' C', ' B', ' C', ' A', ' C', ' B', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' C', ' C', ' A', ' C', ' B', ' A', ' A', ' A', ' B', ' B', ' B', ' B', ' A', ' A', ' A', ' B', ' B', ' C', ' B', ' A', ' A', ' B', ' A', ' B', ' B', ' C', ' A', ' A', ' B', ' A', ' B', ' B', ' A', ' A', ' A', ' A', ' A', ' C', ' C', ' A', ' A', ' B', ' C', ' B', ' C', ' C', ' C', ' C', ' A', ' C', ' C', ' A', ' B', ' C', ' C', ' A', ' B', ' A', ' C', ' A', ' C', ' A', ' C', ' B', ' B', ' B', ' A', ' A', ' C', ' B', ' A', ' C', ' A', ' B', ' B', ' B', ' A', ' C', ' C', ' B', ' B', ' A']","[0.40448355, 0.3930205, 0.20249595, 0.0, 0.0]",RELIG,Atheist,"[1.0, 2.0, 3.0, 4.0]"
RQ4_F1Be_W42,"Question: Thinking about environmental research scientists, how often would you say they care about the best interests of the public
A. All or most of time
B. Some of the time
C. Only a little of the time
D. None of the time
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' B', ' C', ' A', ' A', ' A', ' A', ' D', ' A', ' A', ' A', ' B', ' B', ' D', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' D', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' B', ' B', ' B', ' A', ' A', ' B', ' A', ' A', ' A', ' B', ' A', ' B', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' B', ' A', ' A', ' A', ' D', ' A', ' A', ' A', ' B', ' D', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' A']","[0.71680971, 0.20917495, 0.01081443, 0.06320091, 0.0]",RELIG,Atheist,"[1.0, 2.0, 3.0, 4.0]"
