qkey,input_prompt,output_token,output_dist,attribute,group,ordinal
FREECOLL_W92,"Question: Would you favor or oppose making tuition at public colleges and universities free for all American students?
A. Strongly favor
B. Somewhat favor
C. Somewhat oppose
D. Strongly oppose
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' A', ' A', ' A', ' B', ' A', ' B', ' A', ' C', ' B', ' A', ' B', ' B', ' A', ' C', ' A', ' B', ' A', ' A', ' D', ' A', ' A', ' C', ' B', ' C', ' A', ' B', ' D', ' A', ' A', ' A', ' A', ' A', ' C', ' B', ' B', ' B', ' A', ' A', ' A', ' C', ' C', ' A', ' A', ' A', ' B', ' B', ' E', ' B', ' A', ' A', ' B', ' B', ' A', ' B', ' C', ' A', ' A', ' C', ' A', ' B', ' B', ' C', ' B', ' A', ' B', ' C', ' C', ' B', ' A', ' A', ' B', ' B', ' B', ' A', ' B', ' B', ' C', ' B', ' A', ' A', ' A', ' B', ' B', ' B', ' A', ' B', ' C', ' B', ' A', ' B', ' A', ' D', ' A', ' A', ' B', ' A', ' B', ' B', ' C', ' A']","[0.46650209, 0.39260715, 0.10860949, 0.03228127, 0.0008300608245674]",POLIDEOLOGY,Liberal,"[1.0, 2.0, 3.0, 4.0]"
SATLIFED_W32,"Question: Please tell us whether you are satisfied or dissatisfied with your current job or career.
A. Very satisfied
B. Somewhat satisfied
C. Somewhat dissatisfied
D. Very dissatisfied
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' C', ' C', ' D', ' B', ' B', ' A', ' A', ' C', ' B', ' B', ' D', ' B', ' A', ' A', ' A', ' B', ' C', ' C', ' A', ' B', ' B', ' C', ' A', ' D', ' B', ' B', ' C', ' C', ' C', ' A', ' B', ' B', ' A', ' D', ' C', ' B', ' C', ' A', ' A', ' A', ' B', ' A', ' A', ' B', ' C', ' B', ' B', ' B', ' B', ' A', ' C', ' C', ' C', ' A', ' D', ' B', ' B', ' D', ' A', ' A', ' B', ' A', ' A', ' E', ' B', ' C', ' B', ' B', ' B', ' C', ' A', ' D', ' C', ' A', ' A', ' A', ' B', ' B', ' D', ' B', ' C', ' C', ' C', ' C', ' A', ' C', ' B', ' B', ' A', ' A', ' B', ' D', ' B', ' B', ' A', ' B', ' A', ' B', ' A']","[0.27298421, 0.454698, 0.18579643, 0.08652136, 0.008231932431074]",POLIDEOLOGY,Liberal,"[1.0, 2.0, 3.0, 4.0]"
MARRYPREF1_W50,"Question: Thinking about the future, would you say you
A. Want to get married someday
B. Don't want to get married
C. Are not sure if you want to get married
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' A', ' A', ' A', ' A', ' C', ' C', ' A', ' A', ' A', ' A', ' B', ' A', ' C', ' B', ' A', ' C', ' A', ' A', ' A', ' C', ' C', ' A', ' A', ' A', ' C', ' C', ' C', ' A', ' A', ' A', ' A', ' A', ' C', ' B', ' A', ' A', ' B', ' C', ' A', ' A', ' B', ' A', ' C', ' C', ' A', ' A', ' A', ' A', ' C', ' C', ' A', ' A', ' C', ' C', ' A', ' A', ' A', ' C', ' A', ' A', ' A', ' A', ' B', ' C', ' A', ' A', ' B', ' C', ' A', ' C', ' A', ' A', ' C', ' A', ' A', ' B', ' C', ' C', ' A', ' C', ' A', ' C', ' C', ' A', ' A', ' A', ' A', ' A', ' C', ' C', ' A', ' A', ' C', ' C', ' A', ' C', ' C', ' A', ' A', ' C']","[0.56328542, 0.10274608, 0.33396849, 0.001036911615255]",POLIDEOLOGY,Liberal,"[1.0, 2.0, 1.5]"
GUNRESPNOKIDSD_W26,"Question: Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors that there are guns in the house
A. Essential
B. Important but not essential
C. Not important
D. Should not be done
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' D', ' B', ' C', ' D', ' C', ' C', ' B', ' A', ' B', ' C', ' C', ' B', ' A', ' C', ' C', ' C', ' B', ' B', ' C', ' C', ' C', ' B', ' D', ' B', ' B', ' B', ' A', ' A', ' C', ' D', ' B', ' B', ' A', ' B', ' B', ' A', ' B', ' B', ' C', ' C', ' C', ' C', ' B', ' C', ' B', ' B', ' D', ' A', ' B', ' C', ' B', ' C', ' C', ' A', ' A', ' B', ' D', ' C', ' C', ' A', ' B', ' A', ' A', ' C', ' B', ' B', ' B', ' C', ' C', ' D', ' C', ' B', ' B', ' C', ' A', ' C', ' B', ' B', ' D', ' B', ' B', ' C', ' C', ' A', ' A', ' A', ' C', ' C', ' B', ' C', ' B', ' B', ' B', ' C', ' B', ' D', ' B', ' C', ' B', ' D']","[0.18845772, 0.29953796, 0.35850922, 0.1534951, 0.000511364836665]",POLIDEOLOGY,Liberal,"[1.0, 2.0, 3.0, 4.0]"
GAP21Q33_r_W82,"Question: Thinking about long-range foreign policy goals, how much priority, if any, do you think aiding refugees fleeing violence around the world should be given?
A. Top priority
B. Some priority
C. No priority
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' B', ' B', ' C', ' A', ' B', ' B', ' A', ' C', ' B', ' A', ' B', ' B', ' B', ' A', ' A', ' C', ' A', ' B', ' C', ' C', ' A', ' B', ' A', ' C', ' A', ' B', ' A', ' B', ' A', ' B', ' B', ' B', ' A', ' A', ' A', ' B', ' C', ' A', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' A', ' B', ' B', ' A', ' B', ' B', ' A', ' A', ' A', ' A', ' B', ' B', ' A', ' B', ' B', ' B', ' A', ' B', ' B', ' B', ' B', ' D', ' A', ' B', ' C', ' A', ' B', ' C', ' B', ' B', ' B', ' A', ' B', ' C', ' B', ' B', ' B', ' A', ' B', ' A', ' B', ' B', ' B', ' A', ' B', ' B', ' B', ' B', ' A', ' B']","[0.34395062, 0.60091107, 0.05513831, 0.0222824816671068]",POLIDEOLOGY,Liberal,"[1.0, 2.0, 3.0]"
DATAUSEd_W49,"Question: Do you think the following uses of data/information are acceptable or unacceptable? Makers of a fitness tracking app sharing their users' data with medical researchers seeking to better understand the link between exercise and heart disease
A. Acceptable
B. Unacceptable
C. Not sure
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' B', ' A', ' C', ' C', ' A', ' A', ' A', ' B', ' B', ' B', ' A', ' A', ' B', ' C', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' C', ' B', ' B', ' C', ' B', ' A', ' C', ' A', ' B', ' A', ' B', ' A', ' C', ' B', ' A', ' A', ' B', ' C', ' A', ' A', ' B', ' C', ' B', ' A', ' B', ' B', ' B', ' C', ' A', ' C', ' B', ' A', ' A', ' A', ' C', ' A', ' B', ' B', ' C', ' B', ' C', ' B', ' A', ' B', ' B', ' C', ' B', ' C', ' A', ' C', ' C', ' A', ' C', ' B', ' A', ' B', ' B', ' A', ' A', ' B', ' B', ' A', ' A', ' B', ' A', ' B', ' B', ' A', ' A', ' B', ' A', ' B', ' B', ' A', ' C', ' B', ' A']","[0.60627732, 0.39372268, 0.1831921041909279]",POLIDEOLOGY,Liberal,"[1.0, 2.0]"
ELDFINANCEF2_W41,"Question: Who do you think should be mostly responsible for paying for the long-term care older Americans may need?
A. Family members
B. Government
C. Older Americans themselves
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' B', ' B', ' B', ' C', ' B', ' B', ' B', ' C', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' C', ' C', ' B', ' A', ' B', ' B', ' C', ' B', ' C', ' B', ' C', ' C', ' B', ' C', ' B', ' B', ' C', ' B', ' B', ' B', ' A', ' A', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' A', ' B', ' C', ' B', ' B', ' C', ' C', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' C', ' A', ' B', ' C', ' B', ' B', ' B', ' B', ' A', ' C', ' B', ' B', ' B', ' C', ' A', ' B', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' C']","[0.07765446, 0.71109453, 0.21125101, 0.00365125324787]",POLIDEOLOGY,Liberal,"[1, 1, 1]"
INTRMAR_W41,"Question: According to the U.S. Census Bureau, more people of different races are marrying each other these days than in the past. In terms of its impact on the country, do you think this is
A. A very good thing
B. A somewhat good thing
C. A somewhat bad thing
D. A very bad thing
E. Neither a good nor bad thing
F. Refused
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' E', ' B', ' A', ' E', ' F', ' B', ' E', ' A', ' A', ' B', ' A', ' E', ' E', ' B', ' C', ' A', ' B', ' A', ' E', ' A', ' A', ' A', ' A', ' B', ' B', ' B', ' A', ' E', ' B', ' C', ' A', ' E', ' B', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' E', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' B', ' E', ' B', ' E', ' B', ' A', ' B', ' A', ' A', ' E', ' A', ' E', ' B', ' E', ' B', ' A', ' A', ' A', ' D', ' A', ' A', ' B', ' E', ' A', ' B', ' A', ' A', ' E', ' A', ' E', ' A', ' E', ' A', ' A', ' A', ' E', ' A', ' A', ' B', ' A', ' B', ' B', ' A', ' E', ' B', ' E', ' A', ' B', ' A']","[0.47775253, 0.21375, 0.03688637, 0.00815708, 0.26345403, 0.0021614553848472]",POLIDEOLOGY,Liberal,"[1.0, 2.0, 3.0, 4.0, 2.5]"
FTRWORRYf_W41,"Question: Still thinking about the future of our country, how worried are you, if at all, about climate change?
A. Very worried
B. Fairly worried
C. Not too worried
D. Not at all worried
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' A', ' B', ' B', ' A', ' B', ' A', ' C', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' C', ' B', ' A', ' A', ' A', ' B', ' A', ' D', ' A', ' A', ' C', ' A', ' A', ' B', ' B', ' A', ' C', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' B', ' A', ' A', ' B', ' A', ' A', ' B', ' D', ' A', ' A', ' A', ' A', ' A', ' A', ' D', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' C', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A']","[0.68605363, 0.2386112, 0.05738628, 0.01794889, 0.0015875469935446]",POLIDEOLOGY,Liberal,"[1.0, 2.0, 3.0, 4.0]"
CONFc_W42,"Question: How much confidence, if any, do you have in the military to act in the best interests of the public?
A. A great deal of confidence
B. A fair amount of confidence
C. Not too much confidence
D. No confidence at all
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' C', ' B', ' A', ' A', ' B', ' C', ' A', ' A', ' B', ' C', ' C', ' B', ' B', ' B', ' A', ' B', ' B', ' B', ' C', ' A', ' B', ' B', ' B', ' C', ' B', ' C', ' C', ' A', ' D', ' C', ' D', ' B', ' B', ' C', ' D', ' B', ' A', ' C', ' C', ' B', ' B', ' A', ' B', ' C', ' C', ' D', ' A', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' A', ' B', ' B', ' B', ' C', ' B', ' A', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' C', ' B', ' A', ' B', ' B', ' E', ' B', ' C', ' B', ' A', ' B', ' C', ' A', ' B', ' B', ' C', ' A', ' C', ' A', ' B', ' B', ' A', ' C', ' B', ' A', ' B', ' B', ' A', ' A', ' B', ' B', ' B']","[0.20226971, 0.50897683, 0.24600098, 0.04275248, 0.0052616077478524]",POLIDEOLOGY,Liberal,"[1.0, 2.0, 3.0, 4.0]"
