qkey,input_prompt,output_token,output_dist,attribute,group,ordinal
FREECOLL_W92,"Question: Would you favor or oppose making tuition at public colleges and universities free for all American students?
A. Strongly favor
B. Somewhat favor
C. Somewhat oppose
D. Strongly oppose
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' B', ' B', ' D', ' D', ' A', ' A', ' C', ' A', ' D', ' D', ' A', ' A', ' B', ' B', ' C', ' A', ' A', ' A', ' A', ' D', ' A', ' B', ' A', ' A', ' C', ' A', ' D', ' A', ' D', ' A', ' C', ' B', ' A', ' D', ' A', ' B', ' A', ' C', ' C', ' C', ' A', ' D', ' B', ' C', ' B', ' A', ' D', ' D', ' C', ' D', ' C', ' C', ' B', ' D', ' A', ' D', ' B', ' D', ' B', ' A', ' A', ' A', ' D', ' C', ' A', ' B', ' B', ' D', ' B', ' A', ' C', ' C', ' A', ' B', ' B', ' C', ' A', ' C', ' D', ' A', ' D', ' B', ' B', ' B', ' D', ' D', ' A', ' B', ' A', ' B', ' A', ' A', ' A', ' D', ' C', ' B', ' A', ' D', ' A']","[0.29112606, 0.27404742, 0.17771624, 0.25711028, 0.0045704581249818]",RACE,White,"[1.0, 2.0, 3.0, 4.0]"
SATLIFED_W32,"Question: Please tell us whether you are satisfied or dissatisfied with your current job or career.
A. Very satisfied
B. Somewhat satisfied
C. Somewhat dissatisfied
D. Very dissatisfied
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' C', ' B', ' A', ' B', ' B', ' B', ' A', ' C', ' D', ' B', ' C', ' A', ' A', ' B', ' B', ' B', ' A', ' B', ' D', ' B', ' C', ' C', ' D', ' A', ' A', ' E', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' B', ' A', ' B', ' A', ' D', ' A', ' A', ' B', ' B', ' B', ' B', ' B', ' A', ' A', ' B', ' A', ' B', ' A', ' C', ' A', ' B', ' A', ' A', ' A', ' B', ' C', ' C', ' A', ' B', ' A', ' A', ' B', ' A', ' B', ' B', ' B', ' B', ' A', ' C', ' B', ' D', ' B', ' C', ' B', ' A', ' B', ' A', ' A', ' B', ' B', ' B', ' A', ' A', ' B', ' B', ' C', ' B', ' B', ' C', ' A', ' D', ' B', ' A', ' C', ' B', ' B', ' B']","[0.31661071, 0.44958219, 0.16199426, 0.07181283, 0.0081310668208924]",RACE,White,"[1.0, 2.0, 3.0, 4.0]"
MARRYPREF1_W50,"Question: Thinking about the future, would you say you
A. Want to get married someday
B. Don't want to get married
C. Are not sure if you want to get married
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' C', ' C', ' B', ' B', ' C', ' A', ' C', ' A', ' B', ' C', ' B', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' C', ' A', ' C', ' C', ' C', ' C', ' A', ' A', ' C', ' C', ' B', ' A', ' B', ' A', ' B', ' A', ' C', ' C', ' A', ' C', ' B', ' B', ' B', ' B', ' C', ' A', ' C', ' C', ' B', ' A', ' A', ' B', ' C', ' C', ' B', ' C', ' C', ' C', ' B', ' B', ' A', ' B', ' C', ' A', ' C', ' C', ' A', ' B', ' B', ' A', ' A', ' C', ' B', ' A', ' C', ' A', ' B', ' B', ' B', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' C', ' B', ' C', ' B', ' A', ' A', ' C', ' B', ' A', ' C', ' A', ' B', ' A', ' C', ' A', ' B']","[0.51523312, 0.14326289, 0.34150399, 0.0009656595054347]",RACE,White,"[1.0, 2.0, 1.5]"
GUNRESPNOKIDSD_W26,"Question: Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors that there are guns in the house
A. Essential
B. Important but not essential
C. Not important
D. Should not be done
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' C', ' B', ' A', ' B', ' D', ' C', ' C', ' A', ' D', ' A', ' B', ' C', ' C', ' D', ' B', ' A', ' C', ' C', ' C', ' C', ' A', ' C', ' C', ' C', ' C', ' B', ' C', ' B', ' C', ' B', ' D', ' C', ' C', ' D', ' A', ' A', ' C', ' A', ' C', ' C', ' D', ' D', ' D', ' B', ' B', ' D', ' B', ' C', ' C', ' C', ' D', ' D', ' B', ' B', ' B', ' A', ' A', ' C', ' B', ' A', ' C', ' B', ' C', ' B', ' C', ' C', ' C', ' D', ' C', ' C', ' C', ' A', ' C', ' C', ' A', ' D', ' C', ' D', ' C', ' C', ' B', ' D', ' D', ' C', ' C', ' C', ' B', ' D', ' A', ' C', ' D', ' C', ' C', ' C', ' B', ' B', ' C', ' C', ' D', ' B']","[0.11387738, 0.22019876, 0.47128996, 0.1946339, 0.0033204990735926]",RACE,White,"[1.0, 2.0, 3.0, 4.0]"
GAP21Q33_r_W82,"Question: Thinking about long-range foreign policy goals, how much priority, if any, do you think aiding refugees fleeing violence around the world should be given?
A. Top priority
B. Some priority
C. No priority
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' A', ' B', ' C', ' B', ' B', ' B', ' B', ' C', ' B', ' A', ' B', ' C', ' B', ' B', ' B', ' B', ' A', ' D', ' A', ' B', ' C', ' B', ' C', ' B', ' B', ' C', ' C', ' B', ' D', ' B', ' A', ' A', ' B', ' A', ' C', ' B', ' B', ' A', ' A', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' A', ' B', ' A', ' B', ' B', ' D', ' A', ' B', ' C', ' D', ' B', ' B', ' C', ' B', ' B', ' B', ' C', ' B', ' B', ' A', ' B', ' A', ' B', ' B', ' A', ' A', ' B', ' B', ' B', ' A', ' B', ' A', ' B', ' B', ' A', ' B', ' A', ' B', ' D', ' C', ' B', ' C', ' A', ' A', ' A', ' B', ' B', ' B', ' A', ' C', ' A', ' B', ' C', ' A']","[0.24494934, 0.58416035, 0.17089031, 0.0178492378946988]",RACE,White,"[1.0, 2.0, 3.0]"
DATAUSEd_W49,"Question: Do you think the following uses of data/information are acceptable or unacceptable? Makers of a fitness tracking app sharing their users' data with medical researchers seeking to better understand the link between exercise and heart disease
A. Acceptable
B. Unacceptable
C. Not sure
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' B', ' B', ' A', ' A', ' C', ' A', ' C', ' B', ' A', ' A', ' B', ' C', ' A', ' C', ' B', ' C', ' C', ' B', ' B', ' B', ' A', ' B', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' C', ' B', ' A', ' B', ' A', ' A', ' A', ' B', ' B', ' B', ' B', ' B', ' A', ' C', ' B', ' B', ' B', ' A', ' C', ' B', ' B', ' A', ' A', ' A', ' B', ' B', ' A', ' A', ' C', ' A', ' B', ' A', ' B', ' A', ' B', ' B', ' B', ' B', ' B', ' B', ' A', ' B', ' A', ' A', ' B', ' B', ' B', ' A', ' B', ' B', ' B', ' B', ' A', ' B', ' C', ' B', ' A', ' A', ' B', ' A', ' A', ' A', ' B']","[0.51710927, 0.48289073, 0.2145372863839295]",RACE,White,"[1.0, 2.0]"
ELDFINANCEF2_W41,"Question: Who do you think should be mostly responsible for paying for the long-term care older Americans may need?
A. Family members
B. Government
C. Older Americans themselves
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' B', ' D', ' A', ' B', ' B', ' B', ' A', ' C', ' B', ' A', ' C', ' B', ' D', ' B', ' C', ' B', ' B', ' A', ' B', ' B', ' B', ' A', ' C', ' B', ' C', ' B', ' C', ' B', ' C', ' B', ' B', ' C', ' C', ' A', ' C', ' B', ' C', ' B', ' A', ' C', ' C', ' D', ' A', ' B', ' B', ' A', ' B', ' B', ' B', ' A', ' A', ' C', ' B', ' B', ' A', ' C', ' B', ' A', ' B', ' C', ' C', ' A', ' B', ' A', ' B', ' B', ' B', ' B', ' A', ' A', ' B', ' B', ' C', ' B', ' D', ' B', ' B', ' B', ' C', ' B', ' C', ' B', ' B', ' B', ' A', ' B', ' B', ' B', ' C', ' B', ' B', ' C', ' C', ' B', ' B', ' B', ' C', ' B', ' C', ' C']","[0.14597745, 0.53749469, 0.31652786, 0.0308380872460836]",RACE,White,"[1, 1, 1]"
INTRMAR_W41,"Question: According to the U.S. Census Bureau, more people of different races are marrying each other these days than in the past. In terms of its impact on the country, do you think this is
A. A very good thing
B. A somewhat good thing
C. A somewhat bad thing
D. A very bad thing
E. Neither a good nor bad thing
F. Refused
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' A', ' E', ' A', ' E', ' E', ' E', ' B', ' A', ' C', ' C', ' A', ' E', ' A', ' E', ' E', ' B', ' E', ' B', ' E', ' B', ' A', ' B', ' C', ' B', ' E', ' A', ' C', ' B', ' A', ' A', ' A', ' B', ' A', ' A', ' B', ' E', ' E', ' C', ' B', ' B', ' A', ' D', ' A', ' A', ' A', ' E', ' A', ' E', ' B', ' E', ' A', ' B', ' A', ' A', ' E', ' E', ' A', ' B', ' E', ' A', ' E', ' B', ' E', ' B', ' E', ' C', ' B', ' A', ' B', ' E', ' E', ' E', ' A', ' E', ' C', ' E', ' E', ' E', ' A', ' D', ' E', ' E', ' B', ' E', ' A', ' A', ' A', ' D', ' E', ' A', ' A', ' E', ' E', ' E', ' A', ' A', ' E', ' A', ' B', ' A']","[0.29723245, 0.1802121, 0.07022056, 0.03509407, 0.41724082, 0.0066683542285029]",RACE,White,"[1.0, 2.0, 3.0, 4.0, 2.5]"
FTRWORRYf_W41,"Question: Still thinking about the future of our country, how worried are you, if at all, about climate change?
A. Very worried
B. Fairly worried
C. Not too worried
D. Not at all worried
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' A', ' B', ' B', ' A', ' C', ' C', ' B', ' B', ' A', ' A', ' C', ' A', ' D', ' A', ' A', ' C', ' C', ' B', ' C', ' A', ' E', ' A', ' B', ' C', ' A', ' B', ' D', ' B', ' B', ' B', ' B', ' A', ' A', ' C', ' A', ' B', ' B', ' C', ' D', ' A', ' B', ' A', ' A', ' B', ' A', ' B', ' A', ' B', ' C', ' C', ' A', ' A', ' A', ' A', ' A', ' C', ' B', ' A', ' D', ' D', ' C', ' C', ' B', ' A', ' B', ' A', ' B', ' B', ' C', ' A', ' C', ' B', ' D', ' B', ' D', ' A', ' A', ' B', ' A', ' A', ' C', ' B', ' C', ' B', ' C', ' C', ' C', ' D', ' A', ' A', ' B', ' C', ' A', ' C', ' B', ' C', ' C', ' C', ' D', ' B']","[0.3936805, 0.27237653, 0.23005877, 0.1038842, 0.0025201252929387]",RACE,White,"[1.0, 2.0, 3.0, 4.0]"
CONFc_W42,"Question: How much confidence, if any, do you have in the military to act in the best interests of the public?
A. A great deal of confidence
B. A fair amount of confidence
C. Not too much confidence
D. No confidence at all
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' A', ' B', ' B', ' A', ' B', ' A', ' A', ' A', ' C', ' B', ' A', ' A', ' A', ' B', ' B', ' B', ' B', ' A', ' B', ' A', ' B', ' B', ' A', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' B', ' A', ' A', ' B', ' A', ' B', ' C', ' D', ' B', ' A', ' B', ' A', ' A', ' B', ' B', ' B', ' A', ' B', ' B', ' A', ' B', ' B', ' B', ' A', ' C', ' B', ' C', ' C', ' B', ' A', ' C', ' A', ' C', ' C', ' A', ' B', ' A', ' B', ' B', ' A', ' B', ' A', ' B', ' B', ' A', ' B', ' B', ' B', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' B', ' B', ' B', ' A', ' C', ' B', ' A', ' B', ' C', ' B', ' B', ' B', ' A']","[0.38410896, 0.4463716, 0.13519204, 0.03432739, 0.0026170761914241]",RACE,White,"[1.0, 2.0, 3.0, 4.0]"
