qkey,input_prompt,output_token,output_dist,attribute,group,ordinal
INEQ8_g_W54,"Question: How much, if at all, do you think the following proposals would do to reduce economic inequality in the U.S.? Eliminating college debt
A. A great deal
B. A fair amount
C. Not too much
D. Nothing at all
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' A', ' B', ' C', ' A', ' D', ' A', ' B', ' C', ' B', ' B', ' A', ' B', ' B', ' B', ' C', ' D', ' B', ' B', ' A', ' C', ' D', ' D', ' C', ' B', ' A', ' B', ' B', ' A', ' A', ' B', ' A', ' C', ' C', ' A', ' A', ' C', ' D', ' B', ' A', ' A', ' A', ' B', ' A', ' B', ' B', ' B', ' D', ' C', ' D', ' D', ' B', ' D', ' C', ' C', ' A', ' A', ' B', ' A', ' B', ' C', ' A', ' A', ' B', ' A', ' B', ' A', ' B', ' A', ' B', ' A', ' C', ' D', ' C', ' C', ' A', ' A', ' B', ' B', ' A', ' A', ' A', ' B', ' B', ' C', ' A', ' D', ' B', ' B', ' B', ' A', ' B', ' B', ' B', ' A', ' A', ' D', ' A', ' B', ' A', ' B']","[0.43963144, 0.31748529, 0.14508256, 0.09780071, 0.0117409967339853]",SEX,Female,"[1.0, 2.0, 3.0, 4.0]"
MAN1B_W29,"Question: In general, how much pressure, if any, do you think men face in our country these days to have many sexual partners?
A. A lot
B. Some
C. Not too much
D. None at all
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D']","[0.0, 0.0, 0.0, 1.0, 0.0]",SEX,Female,"[1.0, 2.0, 3.0, 4.0]"
RACESURV18f_W43,"Question: Thinking again about race and race relations in the U.S. in general, how well, if at all, do you think each of these groups get along with each other in our society these days? Hispanics and Asians
A. Very well
B. Pretty well
C. Not too well
D. Not at all well
E. Not sure
F. Refused
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' C', ' C', ' B', ' B', ' E', ' B', ' E', ' B', ' B', ' B', ' B', ' A', ' C', ' E', ' D', ' B', ' C', ' D', ' B', ' A', ' E', ' C', ' C', ' B', ' B', ' D', ' A', ' B', ' B', ' A', ' B', ' B', ' E', ' C', ' B', ' C', ' A', ' D', ' A', ' B', ' B', ' B', ' E', ' E', ' A', ' C', ' B', ' C', ' C', ' D', ' E', ' B', ' C', ' B', ' E', ' E', ' B', ' A', ' C', ' E', ' E', ' C', ' B', ' B', ' B', ' C', ' E', ' E', ' E', ' B', ' E', ' B', ' E', ' E', ' E', ' B', ' E', ' A', ' C', ' E', ' E', ' E', ' E', ' E', ' B', ' B', ' A', ' E', ' E', ' E', ' C', ' C', ' B', ' B', ' C', ' D', ' E', ' B', ' E', ' E']","[0.12161782, 0.59656762, 0.24182751, 0.03998705, 0.4662523068124379]",SEX,Female,"[1.0, 2.0, 3.0, 4.0]"
SEENFEM_W29,"Question: On a different topic how important is it to you, personally, to be seen by others as womanly or feminine?
A. Very important
B. Somewhat important
C. Not too important
D. Not at all important
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' A', ' B', ' B', ' A', ' C', ' C', ' B', ' B', ' B', ' C', ' B', ' B', ' C', ' B', ' C', ' C', ' D', ' C', ' B', ' B', ' C', ' D', ' B', ' B', ' C', ' C', ' B', ' A', ' D', ' C', ' C', ' C', ' B', ' B', ' A', ' E', ' B', ' C', ' B', ' B', ' A', ' B', ' C', ' B', ' A', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' D', ' C', ' A', ' B', ' D', ' B', ' C', ' D', ' C', ' A', ' B', ' A', ' B', ' B', ' B', ' C', ' B', ' A', ' B', ' A', ' C', ' D', ' C', ' C', ' B', ' A', ' A', ' B', ' D', ' C', ' C', ' D', ' D', ' B', ' D', ' C', ' B', ' A', ' B', ' C', ' B', ' C', ' C', ' C', ' B', ' C', ' C', ' C']","[0.18120757, 0.33544558, 0.32205407, 0.16129277, 0.0014042304480222]",SEX,Female,"[1.0, 2.0, 3.0, 4.0]"
GAP21Q19_d_W82,"Question: How much confidence do you have in german Chancellor Angela Merkel to do the right thing regarding world affairs?
A. A lot of confidence
B. Some confidence
C. Not too much confidence
D. No confidence at all
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' C', ' C', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' C', ' C', ' C', ' A', ' E', ' B', ' B', ' B', ' B', ' A', ' E', ' C', ' D', ' C', ' B', ' B', ' D', ' B', ' D', ' B', ' A', ' C', ' D', ' E', ' B', ' C', ' C', ' C', ' D', ' A', ' E', ' A', ' B', ' D', ' B', ' C', ' A', ' A', ' B', ' D', ' C', ' C', ' B', ' C', ' C', ' D', ' B', ' B', ' A', ' B', ' B', ' D', ' A', ' C', ' B', ' C', ' D', ' C', ' B', ' C', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' A', ' E', ' D', ' C', ' E', ' C', ' A', ' B', ' C', ' B', ' D', ' B', ' B']","[0.17328764, 0.46737637, 0.26153555, 0.09780043, 0.0447058336779335]",SEX,Female,"[1.0, 2.0, 3.0, 4.0]"
IDIMPORT_W43,"Question: How important is being Asian to how you think about yourself?
A. Extremely important
B. Very important
C. Moderately important
D. Only a little important
E. Not at all important
F. Refused
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' D', ' A', ' B', ' D', ' E', ' C', ' D', ' A', ' A', ' B', ' E', ' E', ' E', ' E', ' E', ' E', ' B', ' A', ' B', ' E', ' D', ' E', ' D', ' A', ' E', ' D', ' A', ' B', ' E', ' D', ' B', ' B', ' B', ' B', ' B', ' E', ' B', ' D', ' A', ' E', ' C', ' D', ' E', ' E', ' D', ' A', ' E', ' A', ' A', ' D', ' C', ' A', ' D', ' E', ' E', ' B', ' C', ' B', ' E', ' E', ' E', ' D', ' D', ' D', ' C', ' E', ' A', ' E', ' E', ' D', ' E', ' C', ' C', ' E', ' B', ' E', ' F', ' A', ' E', ' D', ' A', ' C', ' C', ' C', ' E', ' A', ' D', ' E', ' E', ' A', ' B', ' E', ' A', ' A', ' C', ' B', ' C', ' D', ' A', ' C']","[0.18186562, 0.1557122, 0.1959554, 0.14674906, 0.31971772, 0.0121794099493822]",SEX,Female,"[1.0, 2.0, 3.0, 4.0, 5.0]"
RQ4_F1Cb_W42,"Question: Thinking about nutrition research scientists, how often would you say they provide fair and accurate information when making statements about their research
A. All or most of time
B. Some of the time
C. Only a little of the time
D. None of the time
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' A', ' C', ' B', ' A', ' B', ' B', ' A', ' D', ' A', ' A', ' B', ' A', ' B', ' B', ' B', ' B', ' C', ' B', ' C', ' D', ' B', ' B', ' B', ' A', ' A', ' B', ' B', ' B', ' B', ' B', ' D', ' B', ' B', ' A', ' C', ' D', ' B', ' C', ' B', ' A', ' C', ' B', ' B', ' A', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' A', ' A', ' B', ' B', ' A', ' D', ' A', ' B', ' B', ' A', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' C', ' A', ' B', ' B', ' C', ' A', ' A', ' E', ' B', ' B', ' C', ' C', ' C', ' C', ' A', ' A', ' C', ' E', ' A', ' A', ' B', ' C', ' A', ' A', ' B', ' B', ' B', ' B', ' B', ' A']","[0.25752665, 0.56325658, 0.14289418, 0.03632258, 0.0220593513250132]",SEX,Female,"[1.0, 2.0, 3.0, 4.0]"
GUNCONTRIBC_W26,"Question: How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?
A. A great deal
B. A fair amount
C. Not too much
D. Not at all
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' C', ' A', ' A', ' A', ' C', ' C', ' A', ' B', ' A', ' C', ' B', ' B', ' B', ' B', ' A', ' B', ' C', ' B', ' A', ' B', ' C', ' C', ' C', ' A', ' A', ' B', ' A', ' A', ' B', ' A', ' B', ' B', ' B', ' A', ' B', ' A', ' B', ' B', ' C', ' C', ' C', ' C', ' B', ' B', ' B', ' C', ' C', ' A', ' B', ' A', ' D', ' B', ' B', ' A', ' D', ' B', ' C', ' A', ' A', ' C', ' B', ' C', ' B', ' C', ' C', ' B', ' C', ' A', ' A', ' B', ' B', ' A', ' C', ' B', ' B', ' B', ' C', ' A', ' B', ' C', ' B', ' A', ' C', ' B', ' A', ' B', ' B', ' B', ' B', ' A', ' C', ' B', ' A', ' A', ' D', ' A', ' B', ' A', ' B']","[0.30612201, 0.33106729, 0.29113184, 0.07167886, 0.0089317561836974]",SEX,Female,"[1.0, 2.0, 3.0, 4.0]"
AUTOLKLY_W41,"Question: Within the next 30 years, how likely do you think it is that the type of work that you do will be done by robots or computers? Do you think this will
A. Definitely happen
B. Probably happen
C. Probably not happen
D. Definitely not happen
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' C', ' C', ' C', ' B', ' A', ' C', ' A', ' D', ' B', ' B', ' C', ' B', ' C', ' C', ' C', ' B', ' B', ' C', ' B', ' C', ' D', ' B', ' C', ' C', ' C', ' D', ' C', ' C', ' B', ' C', ' D', ' C', ' D', ' D', ' B', ' C', ' D', ' C', ' D', ' C', ' B', ' A', ' D', ' C', ' C', ' B', ' B', ' B', ' D', ' D', ' D', ' B', ' C', ' B', ' A', ' B', ' D', ' D', ' E', ' C', ' D', ' C', ' B', ' A', ' C', ' C', ' C', ' B', ' B', ' C', ' C', ' B', ' D', ' C', ' C', ' C', ' D', ' D', ' D', ' C', ' D', ' C', ' C', ' C', ' C', ' B', ' D', ' D', ' B', ' C', ' C', ' C', ' D', ' C', ' C', ' B', ' C', ' C', ' C']","[0.10683, 0.28032661, 0.40325304, 0.20959035, 0.0043578119898091]",SEX,Female,"[1.0, 2.0, 3.0, 4.0]"
PQ8_F2B_W42,"Question: How often, if at all, do you think environmental health specialists face serious consequences if they engage in professional misconduct?
A. All or most of the time
B. Some of the time
C. Only a little of the time
D. None of the time
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' D', ' B', ' D', ' C', ' C', ' C', ' B', ' B', ' B', ' B', ' C', ' C', ' B', ' C', ' A', ' C', ' C', ' A', ' D', ' B', ' C', ' C', ' D', ' D', ' A', ' B', ' B', ' A', ' D', ' B', ' B', ' C', ' C', ' B', ' B', ' B', ' B', ' C', ' C', ' B', ' B', ' B', ' C', ' C', ' B', ' C', ' B', ' D', ' B', ' B', ' B', ' D', ' B', ' C', ' C', ' D', ' C', ' B', ' C', ' C', ' C', ' B', ' D', ' A', ' A', ' C', ' B', ' C', ' C', ' B', ' B', ' C', ' D', ' E', ' C', ' B', ' C', ' B', ' D', ' C', ' C', ' D', ' A', ' B', ' A', ' C', ' B', ' B', ' B', ' C', ' D', ' C', ' C', ' D', ' B', ' C', ' C', ' C', ' C']","[0.12337454, 0.47779458, 0.30725852, 0.09157236, 0.0339027454332916]",SEX,Female,"[1.0, 2.0, 3.0, 4.0]"
