qkey,input_prompt,output_token,output_dist,attribute,group,ordinal
PQ4_F2Bd_W42,"Question: Thinking about environmental health specialists, how often would you say they are transparent about potential conflicts of interest with industry groups in their work
A. All or most of the time
B. Some of the time
C. Only a little of the time
D. None of the time
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' A', ' B', ' A', ' B', ' B', ' B', ' C', ' B', ' D', ' B', ' C', ' A', ' D', ' C', ' A', ' C', ' C', ' E', ' B', ' B', ' B', ' A', ' A', ' B', ' A', ' C', ' C', ' B', ' B', ' B', ' B', ' A', ' D', ' B', ' C', ' B', ' B', ' B', ' A', ' B', ' B', ' A', ' C', ' D', ' B', ' C', ' B', ' C', ' B', ' B', ' B', ' A', ' C', ' B', ' B', ' B', ' B', ' A', ' C', ' C', ' B', ' C', ' A', ' C', ' A', ' B', ' B', ' B', ' B', ' C', ' B', ' C', ' C', ' C', ' D', ' B', ' A', ' B', ' B', ' B', ' B', ' B', ' A', ' C', ' B', ' B', ' C', ' B', ' B', ' A', ' C', ' A']","[0.17514971, 0.50088264, 0.23468121, 0.08928645, 0.0330468249605443]",SEX,Male,"[1.0, 2.0, 3.0, 4.0]"
GUNCONTRIBC_W26,"Question: How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?
A. A great deal
B. A fair amount
C. Not too much
D. Not at all
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' C', ' B', ' A', ' D', ' C', ' B', ' C', ' A', ' D', ' A', ' D', ' B', ' C', ' C', ' C', ' D', ' A', ' C', ' B', ' C', ' B', ' B', ' B', ' D', ' B', ' B', ' B', ' C', ' C', ' B', ' C', ' C', ' B', ' C', ' D', ' C', ' C', ' B', ' C', ' C', ' A', ' C', ' C', ' B', ' C', ' B', ' C', ' C', ' C', ' A', ' A', ' A', ' A', ' D', ' C', ' C', ' B', ' B', ' D', ' C', ' A', ' D', ' C', ' B', ' D', ' C', ' B', ' B', ' A', ' B', ' C', ' B', ' C', ' A', ' B', ' C', ' B', ' C', ' B', ' C', ' A', ' C', ' C', ' A', ' A', ' D', ' A', ' A', ' B', ' C', ' C', ' C', ' D', ' C', ' A', ' C', ' C', ' D', ' C', ' B']","[0.19838188, 0.27225797, 0.40541241, 0.12394773, 0.0012996700791895]",SEX,Male,"[1.0, 2.0, 3.0, 4.0]"
WILLMOVE_W32,"Question: Regardless of whether you would want to move, how likely is it that you will move to a different community at some point in the future?
A. Very likely
B. Somewhat likely
C. Not too likely
D. Not at all likely
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' D', ' B', ' C', ' D', ' D', ' B', ' B', ' B', ' B', ' B', ' A', ' C', ' B', ' A', ' A', ' A', ' A', ' B', ' C', ' B', ' C', ' A', ' D', ' B', ' C', ' B', ' A', ' C', ' A', ' B', ' B', ' B', ' A', ' D', ' B', ' C', ' B', ' B', ' C', ' A', ' C', ' D', ' B', ' B', ' D', ' B', ' B', ' D', ' A', ' C', ' B', ' C', ' A', ' D', ' D', ' A', ' C', ' B', ' A', ' A', ' B', ' D', ' A', ' C', ' B', ' D', ' D', ' D', ' B', ' D', ' D', ' E', ' B', ' C', ' B', ' B', ' B', ' C', ' A', ' B', ' B', ' B', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' B', ' C', ' C', ' A', ' A', ' A', ' A', ' B', ' B', ' A', ' C']","[0.25333847, 0.318104, 0.26268618, 0.16587135, 0.0131822686316715]",SEX,Male,"[1.0, 2.0, 3.0, 4.0]"
GAP21Q19_e_W82,"Question: How much confidence do you have in french President Emmanuel Macron to do the right thing regarding world affairs?
A. A lot of confidence
B. Some confidence
C. Not too much confidence
D. No confidence at all
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' C', ' C', ' B', ' C', ' B', ' B', ' C', ' B', ' D', ' D', ' C', ' C', ' D', ' B', ' B', ' B', ' E', ' B', ' C', ' D', ' B', ' B', ' C', ' C', ' D', ' B', ' A', ' A', ' B', ' E', ' C', ' B', ' C', ' B', ' D', ' A', ' C', ' C', ' A', ' C', ' B', ' C', ' C', ' B', ' B', ' B', ' B', ' B', ' C', ' B', ' C', ' B', ' B', ' C', ' C', ' C', ' B', ' B', ' C', ' C', ' B', ' C', ' C', ' B', ' B', ' C', ' E', ' B', ' B', ' B', ' C', ' B', ' A', ' B', ' C', ' C', ' B', ' B', ' B', ' C', ' B', ' A', ' B', ' B', ' A', ' B', ' D', ' B', ' B', ' B', ' B', ' C', ' A', ' C', ' D', ' C', ' C', ' C', ' B']","[0.10216749, 0.477892, 0.31601595, 0.10392456, 0.0223890090572944]",SEX,Male,"[1.0, 2.0, 3.0, 4.0]"
GAP21Q15_f_W82,"Question: Please compare the US to other developed nations in a few different areas. In each instance, how does the US compare? Entertainment, including movies, music and television
A. The best
B. Above average
C. Average
D. Below average
E. The worst
F. Refused
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' B', ' C', ' C', ' A', ' E', ' B', ' A', ' A', ' A', ' B', ' A', ' A', ' C', ' A', ' A', ' C', ' B', ' B', ' C', ' B', ' B', ' B', ' C', ' B', ' B', ' A', ' A', ' D', ' A', ' B', ' B', ' A', ' A', ' B', ' C', ' F', ' B', ' B', ' B', ' A', ' B', ' A', ' A', ' B', ' A', ' B', ' B', ' C', ' B', ' B', ' A', ' A', ' A', ' B', ' A', ' B', ' A', ' A', ' A', ' A', ' B', ' B', ' A', ' B', ' A', ' B', ' A', ' B', ' F', ' B', ' D', ' B', ' B', ' A', ' A', ' C', ' B', ' C', ' A', ' B', ' A', ' B', ' A', ' B', ' B', ' B', ' A', ' D', ' B', ' F', ' B', ' A', ' A', ' A', ' B', ' C', ' B', ' A', ' A', ' D']","[0.38771487, 0.38800544, 0.15371608, 0.0494465, 0.02111712, 0.0141572050023154]",SEX,Male,"[1.0, 2.0, 3.0, 4.0, 5.0]"
FUD24_W34,"Question: Do you think organic fruits and vegetables are generally
A. Better for one's health than conventionally grown foods
B. Worse for one's health than conventionally grown foods
C. Neither better nor worse for one's health than conventionally grown foods
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' A', ' C', ' B', ' A', ' A', ' C', ' C', ' A', ' C', ' A', ' C', ' A', ' C', ' A', ' A', ' C', ' C', ' A', ' A', ' C', ' A', ' A', ' C', ' C', ' A', ' A', ' C', ' A', ' C', ' A', ' C', ' C', ' A', ' C', ' C', ' A', ' A', ' C', ' C', ' C', ' A', ' C', ' A', ' A', ' A', ' C', ' C', ' C', ' B', ' A', ' A', ' A', ' C', ' A', ' C', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' C', ' A', ' A', ' C', ' B', ' A', ' A', ' A', ' C', ' A', ' D', ' C', ' C', ' C', ' A', ' C', ' C', ' A', ' C', ' C', ' C', ' C', ' A', ' A', ' C', ' A', ' C', ' A', ' C', ' A', ' C', ' C', ' A', ' C', ' C', ' A', ' A', ' A']","[0.45849569, 0.03046893, 0.51103538, 0.0145741410999638]",SEX,Male,"[1.0, 2.0, 1.5]"
USEXCEPT_W92,"Question: Which of these statements best describes your opinion about the United States?
A. The U.S. stands above all other countries in the world
B. The U.S. is one of the greatest countries in the world, along with some others
C. There are other countries that are better than the U.S.
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' B', ' D', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' B', ' A', ' B', ' C', ' C', ' C', ' A', ' B', ' C', ' B', ' B', ' C', ' A', ' C', ' A', ' C', ' A', ' C', ' B', ' B', ' C', ' B', ' B', ' A', ' A', ' B', ' B', ' A', ' B', ' B', ' B', ' B', ' C', ' A', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' B', ' C', ' A', ' B', ' A', ' B', ' C', ' B', ' C', ' A', ' B', ' A', ' C', ' B', ' A', ' A', ' C', ' A', ' B', ' B', ' B', ' B', ' A', ' C', ' C', ' B', ' B', ' B', ' B', ' A', ' B', ' B', ' B', ' A', ' B', ' B', ' C', ' B', ' C', ' B', ' A', ' B', ' B', ' A', ' B', ' C']","[0.26293722, 0.53047293, 0.20658985, 0.004574219623694]",SEX,Male,"[1.0, 2.0, 3.0]"
BILLION_W92,"Question: Do you think the fact that there are some people in this country who have personal fortunes of a billion dollars or more is
A. A good thing for the country
B. A bad thing for the country
C. Neither a good thing or a bad thing
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' C', ' B', ' C', ' C', ' C', ' B', ' C', ' C', ' A', ' C', ' C', ' C', ' C', ' B', ' A', ' B', ' C', ' C', ' B', ' C', ' A', ' C', ' B', ' C', ' C', ' B', ' A', ' C', ' B', ' A', ' A', ' C', ' B', ' B', ' B', ' C', ' A', ' C', ' C', ' B', ' C', ' B', ' C', ' C', ' A', ' A', ' C', ' A', ' C', ' A', ' A', ' B', ' C', ' C', ' B', ' A', ' C', ' B', ' B', ' C', ' C', ' D', ' B', ' A', ' C', ' C', ' C', ' B', ' C', ' C', ' C', ' C', ' B', ' B', ' B', ' B', ' C', ' D', ' A', ' C', ' C', ' A', ' B', ' C', ' C', ' B', ' C', ' A', ' A', ' C', ' B', ' B', ' C', ' A', ' B', ' B', ' B', ' B', ' C', ' C']","[0.179662, 0.29233201, 0.52800599, 0.00597010020623]",SEX,Male,"[1.0, 2.0, 1.5]"
BETTERPOL2F1D_W36,"Question: And thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with national security and defense?
A. Men are better
B. Women are better
C. No difference
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' A', ' C', ' A', ' A', ' A', ' C', ' A', ' A', ' C', ' C', ' C', ' C', ' A', ' C', ' C', ' C', ' A', ' C', ' A', ' C', ' C', ' A', ' C', ' A', ' C', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' C', ' A', ' B', ' C', ' A', ' A', ' A', ' C', ' A', ' A', ' A', ' C', ' C', ' B', ' C', ' C', ' A', ' C', ' C', ' A', ' A', ' C', ' C', ' C', ' C', ' A', ' C', ' C', ' C', ' C', ' A', ' A', ' C', ' C', ' C', ' B', ' A', ' A', ' C', ' C', ' A', ' C', ' C', ' C', ' A', ' C', ' A', ' A', ' A', ' C', ' C', ' A', ' C', ' A', ' C', ' A', ' A', ' C', ' A', ' C', ' A', ' A', ' A']","[0.41667228, 0.06131273, 0.52201499, 0.0024680855359659]",SEX,Male,"[1.0, 2.0, 1.5]"
WHADVANT_W92,"Question: In general, how much do White people benefit from advantages in society that Black people do not have?
A. A great deal
B. A fair amount
C. Not too much
D. Not at all
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' A', ' C', ' A', ' C', ' B', ' A', ' B', ' A', ' A', ' D', ' D', ' C', ' B', ' A', ' A', ' D', ' A', ' A', ' A', ' C', ' C', ' C', ' D', ' A', ' C', ' A', ' A', ' B', ' B', ' B', ' B', ' C', ' B', ' A', ' C', ' A', ' D', ' D', ' C', ' C', ' A', ' D', ' A', ' C', ' B', ' A', ' B', ' B', ' B', ' C', ' C', ' B', ' B', ' D', ' A', ' D', ' B', ' A', ' C', ' C', ' A', ' D', ' A', ' D', ' A', ' A', ' C', ' D', ' B', ' B', ' A', ' C', ' D', ' B', ' C', ' C', ' D', ' B', ' A', ' C', ' B', ' A', ' A', ' B', ' B', ' A', ' D', ' B', ' B', ' C', ' C', ' C', ' B', ' C', ' D', ' D', ' D', ' D', ' D', ' D']","[0.26582305, 0.27006116, 0.2504384, 0.21367739, 0.0104144963353696]",SEX,Male,"[1.0, 2.0, 3.0, 4.0]"
EAT5C_W34,"Question: How much health risk, if any, does eating food and drinks with artificial coloring have for the average person over the course of their lifetime?
A. A great deal of health risk
B. Some health risk
C. Not too much health risk
D. No health risk at all
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' C', ' C', ' C', ' B', ' D', ' D', ' C', ' A', ' C', ' B', ' B', ' C', ' B', ' B', ' A', ' B', ' C', ' C', ' B', ' C', ' C', ' C', ' B', ' A', ' A', ' B', ' A', ' B', ' A', ' B', ' A', ' B', ' B', ' B', ' A', ' B', ' B', ' D', ' C', ' A', ' D', ' B', ' C', ' C', ' C', ' B', ' C', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' E', ' B', ' B', ' C', ' C', ' B', ' C', ' B', ' C', ' C', ' A', ' B', ' C', ' A', ' D', ' A', ' B', ' A', ' B', ' C', ' C', ' B', ' A', ' C', ' D', ' B', ' B', ' C', ' A', ' B', ' B', ' C', ' A', ' B', ' B', ' A', ' B', ' C', ' B', ' B', ' A', ' B', ' C', ' C', ' C', ' D']","[0.15019071, 0.46619923, 0.29376973, 0.08984033, 0.0047947838980613]",SEX,Male,"[1.0, 2.0, 3.0, 4.0]"
IMMIMPACT_W32,"Question: Thinking about the immigrants who live in your local community, in general, would you say their impact on the community has been
A. Mostly positive
B. Mostly negative
C. Neither positive nor negative
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' B', ' C', ' A', ' A', ' A', ' C', ' A', ' C', ' C', ' A', ' C', ' A', ' C', ' A', ' C', ' C', ' C', ' C', ' B', ' A', ' A', ' C', ' A', ' C', ' C', ' C', ' B', ' A', ' A', ' A', ' A', ' C', ' A', ' C', ' C', ' A', ' C', ' A', ' C', ' A', ' A', ' A', ' A', ' C', ' A', ' C', ' C', ' A', ' A', ' C', ' A', ' C', ' B', ' C', ' C', ' A', ' C', ' C', ' C', ' A', ' C', ' A', ' A', ' C', ' D', ' A', ' A', ' C', ' A', ' C', ' A', ' C', ' B', ' C', ' B', ' A', ' C', ' C', ' C', ' C', ' C', ' C', ' A', ' C', ' A', ' A', ' C', ' A', ' C', ' A', ' A', ' C', ' A', ' C', ' C', ' A', ' C', ' B', ' C', ' A']","[0.4187447, 0.08601862, 0.49523668, 0.0062272581724537]",SEX,Male,"[1.0, 2.0, 1.5]"
GAP21Q33_g_W82,"Question: Thinking about long-range foreign policy goals, how much priority, if any, do you think reducing illegal immigration into the US should be given?
A. Top priority
B. Some priority
C. No priority
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' A', ' A', ' A', ' A', ' B', ' C', ' A', ' B', ' C', ' A', ' B', ' A', ' A', ' B', ' A', ' A', ' B', ' A', ' C', ' B', ' B', ' C', ' B', ' A', ' C', ' B', ' A', ' A', ' A', ' C', ' A', ' A', ' C', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' C', ' A', ' B', ' B', ' B', ' A', ' B', ' A', ' C', ' B', ' A', ' A', ' B', ' B', ' C', ' C', ' A', ' C', ' B', ' A', ' B', ' B', ' A', ' A', ' A', ' B', ' A', ' B', ' A', ' A', ' B', ' B', ' B', ' B', ' A', ' C', ' C', ' C', ' A', ' A', ' B', ' A', ' B', ' B', ' B', ' B', ' B', ' A', ' B', ' B', ' A', ' A', ' A', ' B', ' A', ' A', ' B', ' A', ' B']","[0.4032156, 0.4390553, 0.15772909, 0.0]",SEX,Male,"[1.0, 2.0, 3.0]"
