qkey,input_prompt,output_token,output_dist,attribute,group,ordinal
GAP21Q15_e_W82,"Question: Please compare the US to other developed nations in a few different areas. In each instance, how does the US compare? Technological achievements
A. The best
B. Above average
C. Average
D. Below average
E. The worst
F. Refused
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' C', ' C', ' B', ' A', ' B', ' A', ' B', ' B', ' B', ' C', ' C', ' C', ' B', ' C', ' C', ' E', ' B', ' B', ' A', ' B', ' C', ' A', ' D', ' A', ' C', ' A', ' C', ' B', ' B', ' C', ' A', ' A', ' A', ' B', ' B', ' B', ' B', ' C', ' C', ' C', ' C', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' A', ' B', ' C', ' A', ' B', ' B', ' B', ' B', ' B', ' A', ' C', ' C', ' B', ' B', ' B', ' B', ' B', ' C', ' D', ' C', ' C', ' B', ' B', ' B', ' B', ' A', ' B', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' A', ' B', ' C', ' B', ' B', ' A', ' B', ' C', ' A', ' C', ' B', ' C', ' B', ' A', ' A', ' B']","[0.20713267, 0.47868842, 0.25359181, 0.05666906, 0.00391804, 0.0066149071339013]",POLPARTY,Republican,"[1.0, 2.0, 3.0, 4.0, 5.0]"
COMMIMPH_W32,"Question: How important is it to you, personally, to live in a community where most people share your religious views
A. Very important
B. Somewhat important
C. Not too important
D. Not at all important
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' B', ' B', ' B', ' B', ' D', ' A', ' B', ' D', ' C', ' B', ' C', ' C', ' D', ' C', ' B', ' A', ' B', ' C', ' B', ' D', ' C', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' A', ' B', ' C', ' A', ' C', ' C', ' C', ' B', ' B', ' D', ' A', ' B', ' C', ' B', ' A', ' C', ' B', ' B', ' D', ' B', ' B', ' A', ' B', ' B', ' D', ' D', ' D', ' B', ' B', ' B', ' B', ' C', ' A', ' C', ' B', ' B', ' D', ' B', ' B', ' A', ' B', ' C', ' B', ' B', ' D', ' A', ' C', ' B', ' B', ' B', ' A', ' A', ' D', ' B', ' C', ' B', ' B', ' A', ' B', ' D', ' C', ' B', ' B', ' A', ' B', ' D', ' B', ' D', ' B', ' B', ' D']","[0.15530912, 0.38069414, 0.30785373, 0.15614301, 0.0020590774533298]",POLPARTY,Republican,"[1.0, 2.0, 3.0, 4.0]"
BENEFITGOV_W49,"Question: How much do you feel you personally benefit from the data the government collects about you?
A. A great deal
B. Some
C. Very little
D. None
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' C', ' B', ' C', ' C', ' C', ' C', ' B', ' C', ' B', ' C', ' B', ' C', ' C', ' C', ' C', ' B', ' E', ' B', ' B', ' B', ' C', ' C', ' C', ' C', ' B', ' C', ' C', ' A', ' B', ' C', ' C', ' C', ' B', ' C', ' C', ' B', ' C', ' C', ' C', ' C', ' C', ' C', ' C', ' C', ' C', ' B', ' B', ' C', ' C', ' C', ' B', ' C', ' C', ' C', ' B', ' B', ' C', ' C', ' B', ' C', ' C', ' C', ' B', ' C', ' C', ' C', ' B', ' C', ' B', ' C', ' B', ' C', ' C', ' C', ' C', ' C', ' B', ' C', ' C', ' C', ' B', ' C', ' B', ' B', ' C', ' B', ' C', ' C', ' A', ' C', ' C', ' B', ' B', ' C', ' C', ' B', ' C', ' C', ' C', ' A']","[0.02366572, 0.28848809, 0.6878462, 0.0, 0.018539343240684]",POLPARTY,Republican,"[1.0, 2.0, 3.0, 4.0]"
FAMSURV40_W50,"Question: In the past 12 months, how much financial help, if any, did you receive from a parent?
A. A lot
B. Some
C. Only a little
D. None at all
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' C', ' D', ' B', ' C', ' C', ' B', ' A', ' C', ' B', ' D', ' C', ' D', ' D', ' C', ' D', ' D', ' B', ' C', ' B', ' C', ' B', ' D', ' A', ' D', ' D', ' D', ' A', ' C', ' B', ' D', ' D', ' B', ' C', ' D', ' D', ' D', ' D', ' A', ' D', ' A', ' D', ' A', ' D', ' D', ' A', ' D', ' D', ' D', ' A', ' D', ' C', ' B', ' D', ' D', ' D', ' D', ' D', ' C', ' D', ' B', ' C', ' C', ' D', ' D', ' B', ' D', ' C', ' D', ' D', ' A', ' B', ' D', ' C', ' B', ' A', ' D', ' D', ' D', ' B', ' D', ' B', ' D', ' A', ' C', ' A', ' D', ' C', ' C', ' B', ' B', ' A', ' D', ' B', ' B', ' B', ' D', ' A', ' D', ' C', ' D']","[0.20046305, 0.20541122, 0.18065826, 0.41346747, 0.0]",POLPARTY,Republican,"[1.0, 2.0, 3.0, 4.0]"
ECON4_f_W54,"Question: Thinking about your own household's financial situation, how much, if at all, does gas prices affect your household's financial situation?
A. A great deal
B. A fair amount
C. Not too much
D. Not at all
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' C', ' C', ' C', ' B', ' A', ' B', ' A', ' C', ' B', ' B', ' A', ' C', ' B', ' C', ' B', ' B', ' B', ' D', ' C', ' C', ' A', ' B', ' C', ' A', ' A', ' B', ' C', ' B', ' A', ' C', ' B', ' D', ' A', ' C', ' A', ' A', ' B', ' B', ' D', ' B', ' C', ' C', ' B', ' A', ' C', ' D', ' C', ' C', ' A', ' A', ' C', ' B', ' D', ' B', ' C', ' C', ' B', ' A', ' B', ' A', ' A', ' A', ' C', ' B', ' C', ' D', ' A', ' A', ' A', ' A', ' C', ' B', ' A', ' B', ' C', ' C', ' A', ' A', ' B', ' B', ' C', ' B', ' B', ' B', ' A', ' B', ' A', ' B', ' A', ' B', ' D', ' B', ' B', ' B', ' A', ' C', ' A', ' B', ' A', ' C']","[0.30241112, 0.38029748, 0.24536497, 0.07192643, 0.0029152282060002]",POLPARTY,Republican,"[1.0, 2.0, 3.0, 4.0]"
E5MOD_W50,"Question: Is your spouse/partner now employed full-time, part-time or not employed?
A. Full-time
B. Part-time
C. Not employed
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' A', ' C', ' A', ' C', ' D', ' A', ' C', ' C', ' C', ' A', ' C', ' C', ' A', ' A', ' C', ' C', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' B', ' A', ' C', ' A', ' C', ' C', ' B', ' A', ' B', ' A', ' A', ' B', ' C', ' A', ' C', ' C', ' A', ' B', ' C', ' C', ' A', ' A', ' A', ' B', ' A', ' B', ' C', ' B', ' C', ' C', ' A', ' C', ' A', ' C', ' A', ' A', ' A', ' A', ' B', ' A', ' C', ' A', ' C', ' A', ' A', ' A', ' B', ' C', ' A', ' A', ' A', ' A', ' A', ' C', ' C', ' C', ' A', ' C', ' C', ' B', ' C', ' C', ' A', ' C', ' A', ' C']","[0.53493754, 0.10673306, 0.35832939, 0.0031811665717241]",POLPARTY,Republican,"[1.0, 2.0, 3.0]"
RACESURV34a_W43,"Question: Overall, how much has being white/Being black/Being Hispanic/Being Asian/Your racial background helped or hurt your ability to get ahead?
A. Helped a lot
B. Helped a little
C. Hurt a little
D. Hurt a lot
E. Neither helped nor hurt
F. Refused
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' E', ' E', ' E', ' A', ' E', ' E', ' B', ' B', ' E', ' A', ' B', ' E', ' E', ' E', ' B', ' E', ' E', ' E', ' E', ' E', ' E', ' B', ' E', ' E', ' E', ' E', ' E', ' E', ' E', ' C', ' A', ' A', ' A', ' B', ' B', ' E', ' E', ' B', ' E', ' E', ' E', ' E', ' D', ' A', ' E', ' B', ' B', ' A', ' E', ' E', ' E', ' E', ' B', ' E', ' A', ' E', ' B', ' B', ' E', ' E', ' E', ' E', ' B', ' E', ' E', ' E', ' E', ' E', ' B', ' B', ' E', ' E', ' E', ' E', ' E', ' E', ' A', ' F', ' B', ' E', ' B', ' A', ' E', ' E', ' B', ' B', ' D', ' E', ' E', ' E', ' E', ' E', ' E', ' E', ' E', ' E', ' A', ' E', ' C', ' B']","[0.0889727, 0.19944122, 0.06125389, 0.02241633, 0.62791585, 0.0084459392616511]",POLPARTY,Republican,"[1.0, 2.0, 3.0, 4.0, 2.5]"
FUD37A_W34,"Question: How likely is it that genetically modified foods will lead to more affordably-priced food
A. Very likely
B. Fairly likely
C. Not too likely
D. Not at all likely
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' C', ' C', ' C', ' B', ' B', ' C', ' A', ' C', ' C', ' A', ' C', ' B', ' C', ' A', ' C', ' C', ' D', ' B', ' A', ' B', ' C', ' B', ' B', ' C', ' C', ' A', ' B', ' C', ' C', ' B', ' C', ' B', ' B', ' C', ' C', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' C', ' C', ' A', ' C', ' B', ' B', ' D', ' A', ' C', ' B', ' C', ' B', ' B', ' C', ' B', ' C', ' B', ' C', ' B', ' B', ' B', ' B', ' C', ' B', ' C', ' A', ' A', ' B', ' B', ' C', ' B', ' C', ' C', ' A', ' B', ' A', ' D', ' B', ' C', ' A', ' B', ' B', ' D', ' C', ' C', ' B', ' C', ' C', ' C', ' B', ' A', ' B', ' C', ' B', ' C', ' B', ' C', ' A']","[0.17984851, 0.39916029, 0.3526715, 0.0683197, 0.0027409434176896]",POLPARTY,Republican,"[1.0, 2.0, 3.0, 4.0]"
CANDEXP_W92,"Question: How important is it, if at all, that candidates running for high levels of political office have prior government experience?
A. Very important
B. Somewhat important
C. Not too important
D. Not at all important
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' C', ' C', ' A', ' A', ' C', ' C', ' B', ' B', ' D', ' A', ' B', ' A', ' A', ' D', ' C', ' A', ' B', ' D', ' B', ' D', ' D', ' B', ' B', ' B', ' A', ' C', ' A', ' B', ' D', ' D', ' D', ' B', ' B', ' B', ' B', ' B', ' D', ' A', ' B', ' D', ' C', ' A', ' C', ' D', ' B', ' B', ' B', ' C', ' B', ' A', ' D', ' C', ' A', ' B', ' B', ' C', ' C', ' D', ' B', ' A', ' A', ' B', ' C', ' B', ' C', ' C', ' C', ' B', ' B', ' B', ' A', ' D', ' C', ' C', ' A', ' D', ' B', ' C', ' A', ' C', ' C', ' A', ' C', ' B', ' D', ' D', ' C', ' D', ' D', ' D', ' B', ' D', ' A', ' C', ' D', ' B', ' A', ' D', ' C', ' D']","[0.16941247, 0.31697096, 0.3381328, 0.17548376, 0.0024617788813747]",POLPARTY,Republican,"[1.0, 2.0, 3.0, 4.0]"
GAP21Q27_W82,"Question: Do you think actions taken by the international community to address global climate change, such as the Paris climate agreement, will mostly
A. Benefit America's economy
B. Harm America's economy
C. Have no impact on America's economy
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' A', ' B', ' A', ' B', ' A', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' C', ' C', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' A', ' B', ' B', ' B', ' C', ' C', ' B', ' B', ' C', ' A', ' C', ' B', ' C', ' C', ' C', ' B', ' C', ' B', ' B', ' D', ' A', ' B', ' B', ' C', ' B', ' C', ' B', ' C', ' C', ' B', ' B', ' B', ' A', ' B', ' B', ' A', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' C', ' C', ' C', ' B', ' B', ' B', ' C', ' B', ' B', ' C', ' B', ' C', ' A', ' B', ' C', ' A', ' B', ' C', ' B', ' B', ' B', ' A', ' B', ' B', ' B', ' B', ' B']","[0.11113849, 0.65021027, 0.23865124, 0.0198846641972435]",POLPARTY,Republican,"[1.0, 2.0, 1.5]"
