qkey,input_prompt,output_token,output_dist,attribute,group,ordinal
GOVPRIOfF1_W41,"Question: If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to reducing military spending?
A. A top priority
B. An important, but not a top priority
C. A lower priority
D. Should not be done
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' A', ' B', ' C', ' D', ' B', ' D', ' B', ' B', ' A', ' C', ' A', ' C', ' A', ' C', ' C', ' C', ' B', ' A', ' C', ' C', ' A', ' B', ' C', ' D', ' B', ' B', ' D', ' A', ' B', ' D', ' B', ' A', ' C', ' B', ' B', ' B', ' B', ' C', ' A', ' C', ' A', ' C', ' C', ' B', ' A', ' A', ' A', ' B', ' B', ' B', ' C', ' C', ' D', ' B', ' D', ' D', ' B', ' B', ' A', ' C', ' D', ' D', ' D', ' A', ' C', ' D', ' C', ' D', ' B', ' A', ' B', ' C', ' A', ' B', ' B', ' B', ' C', ' B', ' A', ' C', ' C', ' C', ' B', ' A', ' B', ' C', ' C', ' C', ' D', ' C', ' D', ' A', ' D', ' D', ' A', ' A', ' B', ' A', ' B', ' B']","[0.28609391, 0.29397443, 0.26135452, 0.15857714, 0.0074844246010863]",INCOME,"Less than $30,000","[1.0, 2.0, 3.0, 4.0]"
TRAITBIZMF2C_W36,"Question: In general, how do you think being ambitious impacts a man's chances of getting a top executive business position?
A. Mostly helps a man's chances
B. Mostly hurts a man's chances
C. Doesn't make much of a difference
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' A', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' C', ' C', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' B', ' C', ' C', ' A', ' B', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' D', ' B', ' A', ' A', ' C', ' B', ' A', ' A', ' A', ' B', ' C', ' A', ' C', ' A', ' C', ' A', ' C', ' A', ' A', ' A', ' A', ' C', ' C', ' A', ' A', ' A', ' A', ' C', ' B', ' A', ' A', ' C', ' C', ' A', ' A', ' A', ' B', ' D', ' A', ' C', ' A', ' B', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A']","[0.61662943, 0.13169368, 0.25167689, 0.0218633093793005]",INCOME,"Less than $30,000","[1.0, 2.0, 1.5]"
TRAITPOLWF1G_W36,"Question: In general, how do you think being physically attractive impacts a woman's chances of getting elected to high political office?
A. Mostly helps a woman's chances
B. Mostly hurts a woman's chances
C. Doesn't make much of a difference
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' C', ' C', ' C', ' C', ' A', ' C', ' C', ' A', ' C', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' A', ' C', ' C', ' C', ' A', ' C', ' A', ' A', ' A', ' A', ' C', ' C', ' C', ' C', ' A', ' C', ' C', ' A', ' C', ' A', ' A', ' A', ' C', ' C', ' A', ' A', ' A', ' A', ' A', ' C', ' C', ' C', ' A', ' A', ' A', ' B', ' C', ' C', ' A', ' A', ' A', ' A', ' C', ' A', ' C', ' D', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' C', ' A', ' C', ' A', ' C', ' A', ' C', ' A', ' A', ' C', ' C', ' C', ' A', ' A', ' B', ' A', ' A', ' C', ' B', ' A', ' A', ' A', ' A', ' C', ' B', ' A', ' C', ' A']","[0.53503423, 0.0513741, 0.41359167, 0.0179663178560622]",INCOME,"Less than $30,000","[1.0, 2.0, 1.5]"
WHYNOTBIZF2D_W36,"Question: For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women aren't tough enough for business
A. Major reason
B. Minor reason
C. Not a reason
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' B', ' C', ' C', ' B', ' C', ' C', ' C', ' B', ' A', ' C', ' C', ' C', ' A', ' B', ' B', ' B', ' D', ' B', ' C', ' C', ' C', ' B', ' C', ' A', ' C', ' B', ' A', ' C', ' A', ' C', ' A', ' B', ' B', ' B', ' C', ' C', ' C', ' C', ' B', ' C', ' A', ' B', ' C', ' C', ' B', ' C', ' C', ' C', ' C', ' B', ' C', ' C', ' A', ' B', ' B', ' C', ' B', ' B', ' B', ' C', ' A', ' A', ' C', ' C', ' C', ' C', ' C', ' C', ' C', ' B', ' A', ' C', ' C', ' C', ' B', ' C', ' C', ' B', ' C', ' B', ' C', ' C', ' C', ' A', ' C', ' B', ' B', ' C', ' C', ' C', ' C', ' B', ' C', ' C', ' B', ' C', ' C', ' C', ' C', ' C']","[0.1377582, 0.29905602, 0.56318578, 0.0117097617637016]",INCOME,"Less than $30,000","[1.0, 2.0, 3.0]"
NEIGHINTERA_W32,"Question: In general, how often, if ever, would you say you have face-to-face conversations with any of your neighbors
A. Every day
B. Several times a week
C. About once a week
D. About once a month
E. Less than once a month
F. Never
G. Refused
Answer as a choice between A.,B.,C.,D.,E.,F.,G.

Answer:","[' D', ' C', ' E', ' C', ' B', ' E', ' E', ' E', ' D', ' E', ' B', ' C', ' B', ' E', ' E', ' E', ' B', ' B', ' E', ' D', ' E', ' C', ' D', ' A', ' A', ' D', ' B', ' G', ' A', ' B', ' C', ' E', ' E', ' D', ' D', ' D', ' B', ' C', ' B', ' D', ' B', ' A', ' D', ' D', ' E', ' D', ' F', ' E', ' C', ' B', ' B', ' E', ' C', ' C', ' D', ' E', ' E', ' C', ' B', ' B', ' E', ' E', ' C', ' E', ' B', ' C', ' C', ' B', ' C', ' E', ' C', ' A', ' A', ' B', ' E', ' E', ' A', ' E', ' D', ' C', ' B', ' C', ' B', ' E', ' C', ' A', ' F', ' D', ' D', ' C', ' E', ' B', ' B', ' C', ' B', ' F', ' B', ' C', ' C', ' E']","[0.08951203, 0.21924509, 0.22371458, 0.16526534, 0.24088515, 0.0613778, 0.004273613151048]",INCOME,"Less than $30,000","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
GUNCONTRIBC_W26,"Question: How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?
A. A great deal
B. A fair amount
C. Not too much
D. Not at all
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' C', ' E', ' D', ' C', ' B', ' A', ' C', ' C', ' A', ' B', ' C', ' C', ' A', ' D', ' B', ' B', ' A', ' B', ' C', ' B', ' B', ' A', ' A', ' B', ' C', ' A', ' A', ' A', ' A', ' C', ' C', ' A', ' A', ' C', ' C', ' C', ' C', ' B', ' A', ' A', ' B', ' B', ' D', ' B', ' C', ' A', ' A', ' C', ' A', ' D', ' C', ' B', ' A', ' B', ' B', ' C', ' A', ' D', ' B', ' C', ' C', ' A', ' E', ' C', ' A', ' A', ' B', ' D', ' A', ' A', ' A', ' B', ' A', ' A', ' B', ' A', ' C', ' C', ' C', ' B', ' B', ' E', ' D', ' C', ' A', ' A', ' B', ' B', ' B', ' B', ' C', ' C', ' B', ' A', ' B', ' B', ' A', ' B', ' C']","[0.33202959, 0.25072732, 0.29961045, 0.11763264, 0.0097636986235853]",INCOME,"Less than $30,000","[1.0, 2.0, 3.0, 4.0]"
GAP21Q4_c_W82,"Question: Do you have a favorable or unfavorable opinion of Germany
A. Very favorable
B. Somewhat favorable
C. Somewhat unfavorable
D. Very unfavorable
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' A', ' C', ' B', ' B', ' B', ' C', ' C', ' C', ' B', ' B', ' B', ' C', ' B', ' B', ' C', ' C', ' B', ' A', ' E', ' C', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' D', ' B', ' B', ' C', ' C', ' B', ' B', ' C', ' D', ' B', ' D', ' B', ' A', ' D', ' B', ' B', ' B', ' E', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' C', ' B', ' B', ' D', ' C', ' C', ' B', ' B', ' B', ' B', ' C', ' B', ' C', ' C', ' C', ' A', ' B', ' A', ' C', ' B', ' C', ' D', ' B', ' B', ' A', ' D', ' B', ' C', ' B', ' B', ' C', ' D', ' B', ' D', ' B', ' D', ' B', ' C', ' B', ' C', ' D', ' B', ' B', ' D', ' C', ' C', ' B', ' D']","[0.05682054, 0.55444071, 0.28202322, 0.10671552, 0.0290039518950067]",INCOME,"Less than $30,000","[1.0, 2.0, 3.0, 4.0]"
RACESURV5a_W43,"Question: Overall, how does being white affect people's ability to get ahead in our country these days?
A. Helps a lot
B. Helps a little
C. Hurts a little
D. Hurts a lot
E. Neither helps nor hurts
F. Refused
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' B', ' E', ' A', ' B', ' B', ' B', ' B', ' A', ' B', ' A', ' A', ' E', ' A', ' E', ' E', ' A', ' C', ' C', ' E', ' A', ' A', ' A', ' B', ' E', ' E', ' E', ' E', ' B', ' A', ' E', ' D', ' E', ' A', ' C', ' C', ' E', ' A', ' E', ' E', ' A', ' B', ' E', ' A', ' B', ' E', ' E', ' E', ' B', ' E', ' E', ' E', ' E', ' A', ' A', ' E', ' C', ' A', ' B', ' A', ' E', ' B', ' E', ' B', ' C', ' E', ' B', ' E', ' D', ' B', ' E', ' E', ' A', ' C', ' D', ' A', ' A', ' E', ' B', ' E', ' E', ' B', ' A', ' E', ' B', ' C', ' A', ' B', ' A', ' A', ' E', ' E', ' A', ' A', ' A', ' E', ' D', ' A', ' A', ' B', ' A']","[0.33803475, 0.20178799, 0.06899335, 0.05289339, 0.33829052, 0.0075258636220025]",INCOME,"Less than $30,000","[1.0, 2.0, 3.0, 4.0, 2.5]"
WORRY2a_W54,"Question: How often, if ever, do you worry about the amount of debt you have?
A. Every day
B. Almost every day
C. Sometimes
D. Rarely
E. Never
F. Refused
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' A', ' C', ' C', ' B', ' D', ' A', ' A', ' D', ' D', ' A', ' D', ' B', ' C', ' C', ' A', ' A', ' A', ' E', ' A', ' E', ' C', ' A', ' B', ' B', ' A', ' B', ' C', ' B', ' A', ' C', ' A', ' B', ' E', ' A', ' E', ' D', ' A', ' E', ' A', ' C', ' A', ' B', ' A', ' E', ' B', ' B', ' A', ' A', ' C', ' A', ' A', ' C', ' E', ' E', ' A', ' A', ' A', ' D', ' D', ' A', ' D', ' A', ' C', ' A', ' A', ' B', ' A', ' C', ' B', ' A', ' A', ' A', ' B', ' A', ' C', ' A', ' A', ' D', ' C', ' D', ' C', ' C', ' A', ' A', ' A', ' B', ' A', ' C', ' B', ' A', ' D', ' A', ' D', ' E', ' A', ' A', ' B', ' B', ' C', ' C']","[0.40045261, 0.18247296, 0.23207637, 0.09239268, 0.09260539, 0.0068146016096975]",INCOME,"Less than $30,000","[1.0, 2.0, 3.0, 4.0, 5.0]"
RACESURV18f_W43,"Question: Thinking again about race and race relations in the U.S. in general, how well, if at all, do you think each of these groups get along with each other in our society these days? Hispanics and Asians
A. Very well
B. Pretty well
C. Not too well
D. Not at all well
E. Not sure
F. Refused
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' E', ' B', ' B', ' A', ' B', ' E', ' E', ' A', ' B', ' B', ' E', ' B', ' C', ' B', ' B', ' C', ' B', ' E', ' C', ' E', ' E', ' B', ' C', ' B', ' C', ' E', ' D', ' B', ' B', ' B', ' B', ' C', ' E', ' B', ' C', ' E', ' E', ' E', ' E', ' B', ' E', ' B', ' B', ' C', ' C', ' B', ' B', ' A', ' B', ' C', ' C', ' E', ' C', ' B', ' E', ' C', ' C', ' B', ' B', ' B', ' B', ' C', ' C', ' B', ' B', ' B', ' B', ' A', ' B', ' B', ' E', ' E', ' C', ' B', ' B', ' C', ' E', ' C', ' A', ' B', ' B', ' E', ' B', ' E', ' E', ' B', ' C', ' E', ' E', ' E', ' B', ' A', ' B', ' B', ' E', ' C', ' A', ' A', ' C', ' E']","[0.14399704, 0.59807324, 0.22499066, 0.03293905, 0.4266905465792088]",INCOME,"Less than $30,000","[1.0, 2.0, 3.0, 4.0]"
