qkey,input_prompt,output_token,output_dist,attribute,group,ordinal
GOVPRIOfF1_W41,"Question: If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to reducing military spending?
A. A top priority
B. An important, but not a top priority
C. A lower priority
D. Should not be done
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' C', ' C', ' C', ' B', ' B', ' C', ' C', ' A', ' C', ' B', ' B', ' B', ' B', ' C', ' C', ' A', ' B', ' C', ' B', ' C', ' B', ' C', ' B', ' C', ' C', ' B', ' B', ' B', ' B', ' C', ' A', ' A', ' B', ' C', ' B', ' C', ' B', ' A', ' C', ' B', ' C', ' A', ' D', ' C', ' C', ' C', ' D', ' B', ' A', ' C', ' D', ' C', ' B', ' C', ' C', ' B', ' D', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' A', ' B', ' C', ' C', ' A', ' C', ' C', ' B', ' C', ' A', ' B', ' B', ' B', ' C', ' C', ' B', ' B', ' C', ' C', ' C', ' B', ' C', ' C', ' A', ' A', ' B', ' B', ' B', ' A', ' D', ' B', ' B']","[0.12868665, 0.44149149, 0.39233538, 0.03748648, 0.0310014490926457]",RELIG,Jewish,"[1.0, 2.0, 3.0, 4.0]"
TRAITBIZMF2C_W36,"Question: In general, how do you think being ambitious impacts a man's chances of getting a top executive business position?
A. Mostly helps a man's chances
B. Mostly hurts a man's chances
C. Doesn't make much of a difference
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' B', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' C', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' B', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' A']","[0.94026308, 0.04034811, 0.01938882, 0.0]",RELIG,Jewish,"[1.0, 2.0, 1.5]"
TRAITPOLWF1G_W36,"Question: In general, how do you think being physically attractive impacts a woman's chances of getting elected to high political office?
A. Mostly helps a woman's chances
B. Mostly hurts a woman's chances
C. Doesn't make much of a difference
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' A', ' A', ' C', ' C', ' C', ' A', ' A', ' A', ' A', ' A', ' C', ' C', ' C', ' A', ' C', ' D', ' A', ' C', ' A', ' C', ' A', ' C', ' A', ' A', ' A', ' C', ' B', ' A', ' A', ' C', ' A', ' C', ' A', ' C', ' A', ' C', ' A', ' A', ' A', ' C', ' A', ' A', ' C', ' C', ' A', ' A', ' C', ' A', ' A', ' C', ' A', ' C', ' A', ' C', ' A', ' C', ' A', ' C', ' C', ' C', ' C', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' C', ' A', ' A', ' C', ' A', ' A', ' C', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' C', ' A', ' C', ' C', ' C', ' A', ' C', ' C', ' A', ' A', ' C']","[0.58308874, 0.02060814, 0.39630312, 0.0156604801539889]",RELIG,Jewish,"[1.0, 2.0, 1.5]"
WHYNOTBIZF2D_W36,"Question: For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women aren't tough enough for business
A. Major reason
B. Minor reason
C. Not a reason
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' C', ' C', ' B', ' C', ' C', ' A', ' C', ' B', ' B', ' B', ' C', ' A', ' C', ' C', ' B', ' B', ' C', ' B', ' C', ' C', ' C', ' B', ' C', ' B', ' C', ' B', ' C', ' B', ' B', ' C', ' C', ' B', ' C', ' B', ' B', ' C', ' B', ' B', ' B', ' C', ' C', ' C', ' C', ' C', ' B', ' C', ' C', ' C', ' C', ' C', ' C', ' B', ' C', ' C', ' B', ' A', ' C', ' B', ' C', ' C', ' B', ' B', ' C', ' B', ' C', ' B', ' C', ' B', ' B', ' C', ' B', ' B', ' C', ' C', ' C', ' C', ' B', ' C', ' B', ' C', ' C', ' B', ' B', ' C', ' B', ' C', ' C', ' C', ' B', ' C', ' C', ' B', ' C', ' C', ' C', ' B', ' C', ' B', ' B', ' C']","[0.04467331, 0.37149935, 0.58382735, 0.0]",RELIG,Jewish,"[1.0, 2.0, 3.0]"
NEIGHINTERA_W32,"Question: In general, how often, if ever, would you say you have face-to-face conversations with any of your neighbors
A. Every day
B. Several times a week
C. About once a week
D. About once a month
E. Less than once a month
F. Never
G. Refused
Answer as a choice between A.,B.,C.,D.,E.,F.,G.

Answer:","[' E', ' D', ' E', ' C', ' D', ' E', ' A', ' E', ' B', ' C', ' D', ' B', ' E', ' F', ' D', ' D', ' B', ' C', ' C', ' C', ' D', ' D', ' C', ' C', ' C', ' C', ' D', ' D', ' B', ' D', ' E', ' B', ' E', ' E', ' B', ' B', ' D', ' E', ' C', ' B', ' C', ' C', ' C', ' C', ' D', ' C', ' A', ' C', ' C', ' D', ' E', ' E', ' C', ' B', ' E', ' E', ' E', ' C', ' D', ' D', ' C', ' E', ' E', ' A', ' E', ' E', ' B', ' C', ' B', ' E', ' C', ' E', ' E', ' C', ' E', ' E', ' F', ' E', ' C', ' E', ' D', ' C', ' E', ' E', ' C', ' E', ' D', ' E', ' F', ' B', ' D', ' D', ' E', ' C', ' C', ' E', ' D', ' B', ' C', ' E']","[0.05920268, 0.16697317, 0.29324837, 0.25905477, 0.21294518, 0.00857583, 0.0]",RELIG,Jewish,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
GUNCONTRIBC_W26,"Question: How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?
A. A great deal
B. A fair amount
C. Not too much
D. Not at all
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' C', ' A', ' D', ' D', ' C', ' C', ' C', ' A', ' C', ' C', ' D', ' D', ' D', ' D', ' A', ' A', ' C', ' C', ' B', ' C', ' C', ' A', ' C', ' C', ' C', ' C', ' C', ' C', ' B', ' C', ' D', ' C', ' A', ' C', ' C', ' D', ' D', ' C', ' D', ' C', ' C', ' C', ' C', ' C', ' B', ' A', ' B', ' C', ' B', ' C', ' D', ' D', ' C', ' C', ' D', ' C', ' C', ' C', ' D', ' B', ' D', ' D', ' B', ' A', ' A', ' C', ' B', ' C', ' A', ' B', ' D', ' A', ' C', ' D', ' A', ' D', ' B', ' D', ' D', ' C', ' C', ' A', ' A', ' B', ' D', ' A', ' D', ' B', ' D', ' D', ' B', ' C', ' C', ' A', ' D', ' B', ' C', ' C', ' B', ' B']","[0.19097309, 0.15314638, 0.43573297, 0.22014757, 0.0]",RELIG,Jewish,"[1.0, 2.0, 3.0, 4.0]"
GAP21Q4_c_W82,"Question: Do you have a favorable or unfavorable opinion of Germany
A. Very favorable
B. Somewhat favorable
C. Somewhat unfavorable
D. Very unfavorable
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' A', ' B', ' D', ' D', ' B', ' A', ' B', ' B', ' B', ' B', ' B', ' B', ' D', ' D', ' D', ' B', ' B', ' B', ' D', ' B', ' B', ' B', ' D', ' D', ' B', ' D', ' D', ' B', ' B', ' B', ' A', ' B', ' B', ' A', ' A', ' D', ' A', ' D', ' B', ' B', ' A', ' B', ' B', ' B', ' B', ' D', ' B', ' D', ' B', ' D', ' B', ' B', ' B', ' B', ' B', ' D', ' D', ' B', ' B', ' C', ' D', ' A', ' B', ' B', ' D', ' C', ' B', ' B', ' B', ' C', ' D', ' C', ' A', ' D', ' A', ' B', ' B', ' D', ' B', ' B', ' D', ' A', ' D', ' B', ' B', ' D', ' B', ' C', ' B', ' A', ' D', ' B', ' B', ' C', ' D', ' B', ' B', ' D', ' A', ' B']","[0.09375209, 0.53525068, 0.06996383, 0.3010334, 0.0]",RELIG,Jewish,"[1.0, 2.0, 3.0, 4.0]"
RACESURV5a_W43,"Question: Overall, how does being white affect people's ability to get ahead in our country these days?
A. Helps a lot
B. Helps a little
C. Hurts a little
D. Hurts a lot
E. Neither helps nor hurts
F. Refused
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' A', ' A', ' B', ' A', ' A', ' E', ' A', ' A', ' D', ' D', ' A', ' A', ' A', ' E', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' C', ' A', ' E', ' B', ' A', ' E', ' A', ' A', ' A', ' A', ' A', ' B', ' E', ' B', ' A', ' D', ' E', ' C', ' A', ' A', ' E', ' A', ' E', ' A', ' A', ' A', ' A', ' A', ' E', ' C', ' E', ' B', ' A', ' B', ' A', ' D', ' D', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' E', ' B', ' A', ' B', ' A', ' E', ' E', ' B', ' A', ' A', ' E', ' A', ' A', ' E', ' A', ' C', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' E', ' A', ' B', ' A', ' B', ' A', ' B', ' C', ' E', ' A', ' A', ' B']","[0.48156629, 0.2154276, 0.06383552, 0.0558191, 0.18335149, 0.0]",RELIG,Jewish,"[1.0, 2.0, 3.0, 4.0, 2.5]"
WORRY2a_W54,"Question: How often, if ever, do you worry about the amount of debt you have?
A. Every day
B. Almost every day
C. Sometimes
D. Rarely
E. Never
F. Refused
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' D', ' E', ' E', ' D', ' E', ' D', ' E', ' C', ' C', ' D', ' A', ' E', ' E', ' D', ' D', ' E', ' D', ' A', ' A', ' C', ' B', ' B', ' D', ' B', ' C', ' B', ' B', ' B', ' D', ' B', ' C', ' E', ' E', ' D', ' B', ' A', ' B', ' A', ' B', ' B', ' D', ' C', ' D', ' B', ' D', ' C', ' D', ' B', ' C', ' E', ' E', ' A', ' C', ' E', ' C', ' C', ' D', ' E', ' B', ' B', ' E', ' E', ' C', ' D', ' E', ' A', ' E', ' C', ' D', ' B', ' D', ' E', ' C', ' E', ' B', ' A', ' E', ' A', ' B', ' A', ' E', ' B', ' B', ' E', ' C', ' E', ' A', ' C', ' C', ' B', ' E', ' C', ' A', ' C', ' C', ' E', ' E', ' D', ' D', ' B']","[0.11832939, 0.14318791, 0.26974458, 0.21095832, 0.25777981, 0.0035878590717122]",RELIG,Jewish,"[1.0, 2.0, 3.0, 4.0, 5.0]"
RACESURV18f_W43,"Question: Thinking again about race and race relations in the U.S. in general, how well, if at all, do you think each of these groups get along with each other in our society these days? Hispanics and Asians
A. Very well
B. Pretty well
C. Not too well
D. Not at all well
E. Not sure
F. Refused
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' B', ' A', ' B', ' B', ' C', ' B', ' A', ' B', ' E', ' D', ' E', ' E', ' E', ' E', ' D', ' E', ' E', ' B', ' B', ' B', ' B', ' E', ' B', ' B', ' E', ' E', ' B', ' C', ' D', ' B', ' B', ' B', ' E', ' E', ' C', ' E', ' D', ' E', ' E', ' C', ' A', ' B', ' E', ' E', ' C', ' A', ' E', ' E', ' B', ' E', ' E', ' E', ' E', ' C', ' B', ' D', ' D', ' B', ' E', ' E', ' C', ' D', ' B', ' C', ' E', ' E', ' C', ' B', ' C', ' E', ' B', ' D', ' C', ' D', ' B', ' A', ' E', ' C', ' E', ' B', ' C', ' C', ' E', ' B', ' C', ' C', ' C', ' B', ' B', ' B', ' D', ' E', ' C', ' D', ' C', ' B', ' E', ' B', ' B', ' E']","[0.05143881, 0.53231026, 0.31833706, 0.09791387, 0.4625938054493584]",RELIG,Jewish,"[1.0, 2.0, 3.0, 4.0]"
