qkey,input_prompt,output_token,output_dist,attribute,group,ordinal
VALUERURAL_W32,"Question: In general, do you think most people who live in rural areas have values that are
A. Very similar to your values
B. Somewhat similar to your values
C. Somewhat different from your values
D. Very different from your values
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' C', ' C', ' B', ' A', ' C', ' C', ' A', ' A', ' D', ' B', ' B', ' B', ' C', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' D', ' B', ' D', ' C', ' A', ' A', ' C', ' A', ' C', ' D', ' A', ' B', ' B', ' C', ' D', ' B', ' D', ' C', ' B', ' A', ' C', ' A', ' A', ' B', ' E', ' B', ' B', ' C', ' A', ' C', ' A', ' D', ' D', ' B', ' C', ' B', ' A', ' B', ' D', ' B', ' C', ' C', ' D', ' C', ' B', ' C', ' C', ' C', ' B', ' B', ' B', ' B', ' D', ' B', ' C', ' C', ' B', ' B', ' B', ' C', ' D', ' D', ' C', ' C', ' D', ' C', ' C', ' C', ' C', ' C', ' A', ' C', ' B', ' C', ' C', ' A', ' C', ' B', ' B']","[0.15742841, 0.37155147, 0.33912353, 0.1318966, 0.0125813120033493]",CREGION,Northeast,"[1.0, 2.0, 3.0, 4.0]"
RACESURV34a_W43,"Question: Overall, how much has being white/Being black/Being Hispanic/Being Asian/Your racial background helped or hurt your ability to get ahead?
A. Helped a lot
B. Helped a little
C. Hurt a little
D. Hurt a lot
E. Neither helped nor hurt
F. Refused
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' B', ' B', ' E', ' A', ' B', ' B', ' A', ' A', ' E', ' E', ' C', ' D', ' C', ' E', ' E', ' A', ' B', ' D', ' C', ' B', ' E', ' D', ' B', ' A', ' D', ' E', ' E', ' B', ' E', ' E', ' E', ' E', ' B', ' E', ' B', ' E', ' B', ' E', ' C', ' E', ' B', ' E', ' E', ' E', ' B', ' C', ' C', ' E', ' B', ' E', ' C', ' E', ' B', ' B', ' E', ' E', ' E', ' E', ' B', ' E', ' D', ' E', ' E', ' C', ' C', ' B', ' A', ' B', ' B', ' B', ' B', ' E', ' E', ' A', ' C', ' A', ' A', ' E', ' B', ' C', ' C', ' C', ' E', ' E', ' E', ' B', ' E', ' E', ' A', ' E', ' E', ' C', ' E', ' E', ' E', ' E', ' C', ' E', ' E', ' E']","[0.15788278, 0.26111805, 0.09722959, 0.03322712, 0.45054246, 0.0106453286578589]",CREGION,Northeast,"[1.0, 2.0, 3.0, 4.0, 2.5]"
REPRSNTREP_W92,"Question: How well does the Republican party represent the interests of people like you?
A. Very well
B. Somewhat well
C. Not too well
D. Not at all well
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' D', ' C', ' D', ' B', ' D', ' C', ' D', ' B', ' D', ' D', ' C', ' A', ' D', ' D', ' C', ' D', ' D', ' C', ' D', ' D', ' C', ' B', ' C', ' B', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' C', ' C', ' C', ' D', ' C', ' D', ' C', ' A', ' C', ' C', ' C', ' D', ' B', ' D', ' B', ' C', ' D', ' B', ' C', ' D', ' C', ' D', ' A', ' D', ' C', ' D', ' B', ' B', ' C', ' D', ' C', ' D', ' D', ' D', ' D', ' D', ' C', ' A', ' B', ' B', ' C', ' D', ' D', ' E', ' B', ' B', ' C', ' D', ' D', ' A', ' D', ' E', ' D', ' D', ' B', ' D', ' B', ' B', ' D', ' D', ' D', ' D', ' B', ' D', ' B', ' C', ' C', ' C', ' D']","[0.10044683, 0.28999674, 0.25728946, 0.35226697, 0.0189921206875082]",CREGION,Northeast,"[1.0, 2.0, 3.0, 4.0]"
GUNCONTRIBC_W26,"Question: How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?
A. A great deal
B. A fair amount
C. Not too much
D. Not at all
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' A', ' A', ' B', ' B', ' C', ' B', ' B', ' C', ' C', ' B', ' C', ' A', ' C', ' A', ' A', ' C', ' A', ' C', ' B', ' C', ' A', ' C', ' C', ' B', ' D', ' B', ' A', ' A', ' B', ' A', ' B', ' C', ' A', ' C', ' C', ' A', ' C', ' B', ' A', ' B', ' B', ' A', ' C', ' A', ' A', ' C', ' B', ' B', ' C', ' D', ' B', ' C', ' B', ' A', ' D', ' C', ' B', ' A', ' C', ' A', ' C', ' B', ' A', ' B', ' C', ' A', ' C', ' A', ' B', ' A', ' D', ' C', ' C', ' A', ' C', ' B', ' B', ' B', ' B', ' A', ' C', ' C', ' A', ' C', ' C', ' A', ' C', ' A', ' C', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' C']","[0.30729958, 0.29337831, 0.32720786, 0.07211425, 0.0008340538032386]",CREGION,Northeast,"[1.0, 2.0, 3.0, 4.0]"
SEENFEM_W29,"Question: On a different topic how important is it to you, personally, to be seen by others as womanly or feminine?
A. Very important
B. Somewhat important
C. Not too important
D. Not at all important
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' C', ' B', ' C', ' A', ' D', ' C', ' B', ' C', ' A', ' B', ' C', ' B', ' C', ' B', ' C', ' B', ' B', ' C', ' B', ' B', ' B', ' C', ' B', ' D', ' B', ' B', ' A', ' C', ' B', ' A', ' B', ' B', ' B', ' B', ' A', ' D', ' A', ' C', ' A', ' C', ' D', ' D', ' C', ' C', ' C', ' B', ' C', ' C', ' B', ' C', ' A', ' C', ' B', ' C', ' B', ' B', ' B', ' C', ' D', ' B', ' A', ' A', ' D', ' D', ' B', ' C', ' C', ' A', ' C', ' B', ' C', ' B', ' C', ' D', ' B', ' B', ' C', ' A', ' A', ' C', ' B', ' C', ' C', ' D', ' A', ' A', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' D', ' B', ' C', ' D', ' B', ' B', ' A']","[0.17904024, 0.32060159, 0.32538665, 0.17497152, 0.0003073206414052]",CREGION,Northeast,"[1.0, 2.0, 3.0, 4.0]"
ETHNCMAJ_W32,"Question: According to the U.S. Census Bureau, in the next 25 to 30 years, African Americans, Latinos, and people of Asian descent will make up a majority of the population. In general, do you think that this is
A. Good for the country
B. Bad for the country
C. Neither good nor bad for the country
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' B', ' C', ' B', ' C', ' C', ' A', ' C', ' C', ' C', ' C', ' C', ' C', ' A', ' A', ' C', ' B', ' C', ' C', ' A', ' C', ' B', ' C', ' A', ' C', ' C', ' A', ' A', ' A', ' B', ' C', ' C', ' A', ' C', ' C', ' A', ' B', ' A', ' A', ' C', ' A', ' C', ' C', ' C', ' C', ' C', ' C', ' C', ' B', ' A', ' A', ' C', ' C', ' C', ' C', ' B', ' A', ' C', ' D', ' B', ' A', ' C', ' A', ' C', ' C', ' C', ' A', ' A', ' C', ' A', ' B', ' C', ' A', ' A', ' C', ' C', ' A', ' A', ' B', ' A', ' C', ' B', ' C', ' C', ' A', ' C', ' C', ' C', ' A', ' A', ' B', ' C', ' C', ' A', ' C', ' D', ' C', ' A', ' C', ' C', ' C']","[0.24078091, 0.13396832, 0.62525078, 0.016578413800972]",CREGION,Northeast,"[1.0, 2.0, 1.5]"
TRAITBIZMF2C_W36,"Question: In general, how do you think being ambitious impacts a man's chances of getting a top executive business position?
A. Mostly helps a man's chances
B. Mostly hurts a man's chances
C. Doesn't make much of a difference
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' A', ' C', ' C', ' A', ' A', ' B', ' B', ' B', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' B', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' A', ' C', ' C', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' C', ' A', ' A', ' A', ' C', ' A', ' C', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' B', ' B', ' A', ' A', ' C', ' C', ' A', ' A', ' A', ' B', ' A', ' A', ' C', ' A', ' A', ' A', ' A']","[0.71032164, 0.14079435, 0.14888401, 0.0]",CREGION,Northeast,"[1.0, 2.0, 1.5]"
GAP21Q33_s_W82,"Question: Thinking about long-range foreign policy goals, how much priority, if any, do you think reducing legal immigrations into the US should be given?
A. Top priority
B. Some priority
C. No priority
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' C', ' A', ' B', ' C', ' B', ' C', ' C', ' B', ' C', ' C', ' A', ' B', ' B', ' C', ' B', ' B', ' C', ' B', ' D', ' B', ' B', ' B', ' A', ' B', ' C', ' B', ' C', ' B', ' C', ' C', ' B', ' C', ' B', ' B', ' C', ' B', ' A', ' C', ' A', ' B', ' C', ' B', ' A', ' A', ' C', ' B', ' A', ' A', ' C', ' D', ' C', ' B', ' C', ' C', ' A', ' A', ' C', ' B', ' A', ' B', ' B', ' B', ' B', ' B', ' A', ' B', ' A', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' B', ' A', ' B', ' C', ' B', ' C', ' B', ' C', ' C', ' B', ' C', ' C', ' C', ' B', ' C', ' C', ' B', ' C', ' C', ' C', ' C', ' C', ' B', ' B', ' B']","[0.18702605, 0.37935416, 0.43361979, 0.016290559325509]",CREGION,Northeast,"[1.0, 2.0, 3.0]"
GAP21Q7_a_W82,"Question: Would you say the US has done a good or bad job dealing with the coronavirus outbreak?
A. Very good
B. Somewhat good
C. Somewhat bad
D. Very bad
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' D', ' B', ' D', ' D', ' C', ' C', ' B', ' B', ' D', ' D', ' C', ' C', ' C', ' C', ' D', ' D', ' D', ' C', ' D', ' B', ' D', ' B', ' B', ' C', ' B', ' D', ' A', ' B', ' D', ' B', ' D', ' D', ' B', ' B', ' B', ' C', ' C', ' D', ' C', ' B', ' A', ' D', ' D', ' D', ' C', ' B', ' C', ' C', ' B', ' C', ' B', ' D', ' B', ' C', ' D', ' B', ' B', ' B', ' C', ' D', ' B', ' B', ' D', ' B', ' C', ' B', ' D', ' B', ' B', ' B', ' B', ' D', ' A', ' B', ' C', ' D', ' B', ' D', ' B', ' A', ' C', ' B', ' B', ' D', ' D', ' A', ' C', ' B', ' A', ' C', ' D', ' D', ' D', ' D', ' A', ' B', ' D', ' B', ' B', ' C']","[0.07263127, 0.38130932, 0.2922342, 0.25382521, 0.0070390055948928]",CREGION,Northeast,"[1.0, 2.0, 3.0, 4.0]"
NEWSPROBe_W45,"Question: How much of a problem is journalists inserting their own views when it comes to how the public stays informed about the basic facts of current issues and events?
A. A very big problem
B. A moderately big problem
C. A small problem
D. Not a problem at all
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' A', ' B', ' C', ' A', ' C', ' C', ' B', ' C', ' B', ' B', ' C', ' A', ' D', ' B', ' B', ' A', ' B', ' C', ' D', ' B', ' C', ' B', ' A', ' A', ' C', ' B', ' B', ' A', ' C', ' B', ' C', ' D', ' C', ' A', ' A', ' A', ' A', ' B', ' B', ' A', ' C', ' C', ' A', ' C', ' D', ' C', ' C', ' A', ' A', ' D', ' A', ' B', ' C', ' B', ' C', ' A', ' D', ' A', ' B', ' C', ' C', ' B', ' B', ' A', ' B', ' A', ' D', ' B', ' D', ' A', ' C', ' A', ' B', ' B', ' C', ' D', ' B', ' A', ' B', ' B', ' C', ' C', ' C', ' A', ' A', ' C', ' A', ' A', ' B', ' C', ' C', ' B', ' C', ' B', ' A', ' C', ' A', ' B', ' B']","[0.38190161, 0.29644975, 0.25172158, 0.06992706, 0.0066765466235366]",CREGION,Northeast,"[1.0, 2.0, 3.0, 4.0]"
