qkey,input_prompt,output_token,output_dist,attribute,group,ordinal
GAP21Q4_c_W82,"Question: Do you have a favorable or unfavorable opinion of Germany
A. Very favorable
B. Somewhat favorable
C. Somewhat unfavorable
D. Very unfavorable
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' B', ' B', ' D', ' A', ' A', ' B', ' B', ' B', ' C', ' C', ' D', ' B', ' B', ' A', ' B', ' A', ' B', ' B', ' B', ' B', ' B', ' C', ' B', ' C', ' B', ' B', ' C', ' B', ' C', ' B', ' C', ' B', ' B', ' D', ' C', ' B', ' C', ' C', ' E', ' A', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' D', ' C', ' B', ' A', ' A', ' D', ' B', ' A', ' B', ' D', ' D', ' B', ' B', ' D', ' B', ' C', ' B', ' E', ' B', ' B', ' A', ' B', ' A', ' B', ' B', ' B', ' B', ' C', ' D', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' A', ' B', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' C', ' D', ' B', ' C', ' B', ' B']","[0.16673644, 0.59200379, 0.17763617, 0.06362361, 0.0356920021931939]",EDUCATION,College graduate/some postgrad,"[1.0, 2.0, 3.0, 4.0]"
SATLIFED_W32,"Question: Please tell us whether you are satisfied or dissatisfied with your current job or career.
A. Very satisfied
B. Somewhat satisfied
C. Somewhat dissatisfied
D. Very dissatisfied
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' B', ' B', ' B', ' A', ' B', ' B', ' A', ' D', ' A', ' B', ' B', ' A', ' C', ' B', ' D', ' C', ' A', ' B', ' B', ' B', ' D', ' A', ' C', ' A', ' A', ' A', ' B', ' B', ' B', ' D', ' C', ' B', ' C', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' A', ' B', ' A', ' B', ' D', ' D', ' C', ' B', ' B', ' A', ' C', ' C', ' A', ' B', ' B', ' B', ' A', ' B', ' B', ' B', ' B', ' A', ' B', ' C', ' A', ' B', ' B', ' A', ' B', ' A', ' D', ' A', ' B', ' A', ' A', ' A', ' C', ' E', ' C', ' A', ' B', ' A', ' B', ' C', ' B', ' B', ' A', ' A', ' B', ' A', ' B', ' B', ' B', ' A', ' B', ' D', ' A', ' B', ' C']","[0.27989227, 0.44361016, 0.19727355, 0.07922402, 0.0039390593920124]",EDUCATION,College graduate/some postgrad,"[1.0, 2.0, 3.0, 4.0]"
FTRWORRYf_W41,"Question: Still thinking about the future of our country, how worried are you, if at all, about climate change?
A. Very worried
B. Fairly worried
C. Not too worried
D. Not at all worried
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' A', ' A', ' C', ' B', ' A', ' A', ' A', ' A', ' B', ' B', ' C', ' C', ' A', ' A', ' C', ' A', ' D', ' D', ' A', ' A', ' A', ' A', ' B', ' C', ' A', ' A', ' B', ' C', ' B', ' B', ' A', ' B', ' B', ' A', ' A', ' A', ' C', ' B', ' A', ' A', ' A', ' A', ' D', ' C', ' B', ' A', ' C', ' C', ' A', ' A', ' A', ' D', ' A', ' D', ' A', ' A', ' C', ' B', ' D', ' B', ' C', ' A', ' A', ' A', ' B', ' D', ' A', ' A', ' C', ' A', ' A', ' C', ' C', ' A', ' A', ' A', ' A', ' C', ' C', ' A', ' A', ' C', ' C', ' C', ' A', ' A', ' B', ' B', ' C', ' D', ' B', ' A', ' A', ' A', ' B', ' C', ' D', ' B', ' B', ' C']","[0.45420798, 0.2494054, 0.20207133, 0.09431528, 0.0]",EDUCATION,College graduate/some postgrad,"[1.0, 2.0, 3.0, 4.0]"
GUNRESPNOKIDSD_W26,"Question: Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors that there are guns in the house
A. Essential
B. Important but not essential
C. Not important
D. Should not be done
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' C', ' D', ' D', ' C', ' A', ' C', ' D', ' C', ' B', ' C', ' B', ' C', ' C', ' B', ' C', ' B', ' D', ' B', ' A', ' C', ' A', ' D', ' A', ' B', ' A', ' C', ' A', ' B', ' C', ' C', ' C', ' B', ' C', ' C', ' B', ' B', ' C', ' D', ' A', ' B', ' D', ' C', ' D', ' A', ' A', ' C', ' A', ' A', ' C', ' C', ' C', ' D', ' C', ' C', ' C', ' D', ' B', ' D', ' D', ' D', ' C', ' B', ' A', ' C', ' C', ' C', ' B', ' A', ' C', ' D', ' A', ' B', ' B', ' B', ' E', ' C', ' B', ' A', ' C', ' D', ' C', ' D', ' D', ' B', ' B', ' A', ' E', ' B', ' D', ' B', ' C', ' E', ' C', ' C', ' D', ' D', ' D', ' C', ' B']","[0.17570984, 0.20635218, 0.41617211, 0.20176586, 0.0065938001236226]",EDUCATION,College graduate/some postgrad,"[1.0, 2.0, 3.0, 4.0]"
GOVPRIORITYd_W54,"Question: How much of a priority should the following be for the federal government to address: Addressing climate change
A. A top priority
B. Important, but lower priority
C. Not too important
D. Should not be done
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' A', ' B', ' B', ' A', ' B', ' C', ' A', ' C', ' C', ' A', ' C', ' C', ' A', ' D', ' A', ' A', ' C', ' A', ' B', ' C', ' A', ' A', ' D', ' B', ' A', ' C', ' A', ' A', ' D', ' C', ' A', ' D', ' A', ' C', ' B', ' C', ' A', ' A', ' A', ' B', ' B', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' B', ' A', ' A', ' B', ' A', ' A', ' C', ' A', ' B', ' B', ' C', ' A', ' B', ' A', ' B', ' A', ' D', ' C', ' C', ' A', ' A', ' E', ' C', ' B', ' B', ' A', ' C', ' B', ' B', ' D', ' B', ' A', ' D', ' A', ' B', ' A', ' A', ' A', ' D', ' A', ' A', ' A', ' A', ' A', ' D', ' A', ' B', ' A', ' A', ' A']","[0.52717106, 0.24472368, 0.15738648, 0.07071878, 0.0026041815250783]",EDUCATION,College graduate/some postgrad,"[1.0, 2.0, 3.0, 4.0]"
SMLIKESf_W45,"Question: How much is each of the following a reason why you click on links to news stories on social media? The story was surprising or entertaining
A. Major reason
B. Minor reason
C. Not a reason
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' A', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' C', ' A', ' B', ' A', ' B', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' B', ' A', ' C', ' C', ' A', ' B', ' B', ' A', ' A', ' A', ' A', ' C', ' B', ' B', ' C', ' A', ' B', ' B', ' A', ' A', ' B', ' B', ' B', ' C', ' A', ' B', ' A', ' B', ' A', ' B', ' C', ' A', ' A', ' B', ' C', ' B', ' A', ' A', ' B', ' A', ' A', ' B', ' B', ' A', ' B', ' A', ' A', ' B', ' A', ' A', ' A', ' B', ' A', ' D', ' C', ' C', ' B', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' B', ' B', ' A', ' B', ' A', ' B', ' A', ' A', ' A']","[0.53025076, 0.40113153, 0.06861771, 0.0051199010951836]",EDUCATION,College graduate/some postgrad,"[1.0, 2.0, 3.0]"
SOLVPROBb_W41,"Question: In the future, what kind of an impact do you think major corporations will have in solving the biggest problems facing the country?
A. A very positive impact
B. A somewhat positive impact
C. A somewhat negative impact
D. A very negative impact
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' D', ' C', ' B', ' C', ' D', ' C', ' C', ' D', ' A', ' C', ' B', ' C', ' B', ' C', ' D', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' C', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' C', ' D', ' C', ' C', ' C', ' D', ' C', ' B', ' B', ' A', ' B', ' C', ' C', ' C', ' B', ' B', ' B', ' C', ' B', ' D', ' A', ' C', ' D', ' D', ' C', ' D', ' C', ' D', ' C', ' A', ' D', ' B', ' B', ' B', ' C', ' C', ' C', ' C', ' D', ' B', ' B', ' B', ' B', ' B', ' D', ' B', ' D', ' D', ' B', ' B', ' A', ' B', ' C', ' C', ' D', ' B', ' B', ' B', ' C', ' C', ' D', ' C', ' C', ' B', ' A', ' B', ' B', ' B', ' D']","[0.07476066, 0.40958279, 0.33787264, 0.1777839, 0.0048004688534013]",EDUCATION,College graduate/some postgrad,"[1.0, 2.0, 3.0, 4.0]"
BETTERPOL1F1B_W36,"Question: In general, do you think men or women in high political offices are better at being compassionate and empathetic?
A. Men are better
B. Women are better
C. No difference
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' C', ' B', ' B', ' C', ' B', ' C', ' C', ' B', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' C', ' C', ' C', ' C', ' B', ' B', ' C', ' B', ' C', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' C', ' B', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' A', ' B', ' C', ' B', ' C', ' C', ' C', ' C', ' B', ' B', ' B', ' C', ' C', ' B', ' B', ' B', ' B', ' C', ' C', ' B', ' B', ' C', ' B', ' B', ' C', ' B', ' B', ' C', ' B', ' C', ' D', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' C']","[0.01172687, 0.68627011, 0.30200302, 0.0033218822694246]",EDUCATION,College graduate/some postgrad,"[1.0, 2.0, 1.5]"
ELDFINANCEF1_W41,"Question: Who do you think will be mostly responsible for paying for the long-term care older Americans may need?
A. Family members
B. Government
C. Older Americans themselves
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' A', ' C', ' D', ' A', ' C', ' C', ' A', ' C', ' C', ' D', ' A', ' A', ' B', ' C', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' C', ' C', ' C', ' B', ' A', ' A', ' C', ' C', ' C', ' A', ' C', ' A', ' C', ' B', ' A', ' C', ' C', ' B', ' B', ' A', ' A', ' C', ' C', ' C', ' C', ' A', ' B', ' A', ' D', ' C', ' A', ' B', ' C', ' B', ' C', ' B', ' C', ' A', ' A', ' A', ' C', ' A', ' C', ' C', ' A', ' C', ' C', ' C', ' A', ' B', ' A', ' A', ' C', ' C', ' A', ' C', ' A', ' B', ' B', ' B', ' C', ' A', ' C', ' A', ' B', ' A', ' B', ' A', ' C', ' B', ' C', ' A', ' C', ' A', ' C', ' B', ' A', ' A', ' B']","[0.31836811, 0.25980241, 0.42182948, 0.006202198392676]",EDUCATION,College graduate/some postgrad,"[1, 1, 1]"
GOVPRIOc_W41,"Question: If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to providing high-quality, affordable health care to all Americans?
A. A top priority
B. An important, but not a top priority
C. A lower priority
D. Should not be done
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' A', ' A', ' A', ' B', ' C', ' A', ' D', ' B', ' A', ' A', ' B', ' A', ' B', ' A', ' A', ' B', ' B', ' D', ' A', ' A', ' B', ' A', ' C', ' B', ' C', ' A', ' A', ' C', ' A', ' B', ' B', ' A', ' C', ' D', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' C', ' A', ' B', ' A', ' A', ' C', ' A', ' B', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' C', ' A', ' D', ' C', ' A', ' C', ' C', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' C', ' B', ' A', ' B', ' B', ' A', ' C', ' A', ' B', ' D', ' A', ' B', ' B', ' A', ' B', ' A', ' A', ' A', ' B']","[0.66519715, 0.20349154, 0.08371187, 0.04759944, 0.0]",EDUCATION,College graduate/some postgrad,"[1.0, 2.0, 3.0, 4.0]"
