qkey,input_prompt,output_token,output_dist,attribute,group,ordinal
GAP21Q4_c_W82,"Question: Do you have a favorable or unfavorable opinion of Germany
A. Very favorable
B. Somewhat favorable
C. Somewhat unfavorable
D. Very unfavorable
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' A', ' C', ' B', ' E', ' B', ' C', ' B', ' B', ' B', ' C', ' C', ' B', ' B', ' C', ' B', ' B', ' C', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' B', ' A', ' B', ' A', ' C', ' B', ' B', ' B', ' D', ' D', ' B', ' C', ' B', ' B', ' C', ' B', ' B', ' B', ' A', ' B', ' C', ' B', ' B', ' E', ' C', ' B', ' B', ' A', ' C', ' A', ' B', ' C', ' B', ' B', ' B', ' B', ' B', ' C', ' B', ' D', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' C', ' B', ' B', ' C', ' B', ' C', ' B', ' C', ' B', ' B', ' C', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' D', ' E']","[0.03795837, 0.61792385, 0.27078869, 0.07332908, 0.0436691380788321]",POLIDEOLOGY,Conservative,"[1.0, 2.0, 3.0, 4.0]"
SATLIFED_W32,"Question: Please tell us whether you are satisfied or dissatisfied with your current job or career.
A. Very satisfied
B. Somewhat satisfied
C. Somewhat dissatisfied
D. Very dissatisfied
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' A', ' B', ' A', ' C', ' B', ' B', ' E', ' B', ' A', ' B', ' A', ' B', ' C', ' B', ' B', ' A', ' C', ' C', ' B', ' D', ' D', ' A', ' A', ' B', ' B', ' B', ' C', ' B', ' C', ' C', ' B', ' D', ' B', ' A', ' B', ' C', ' D', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' D', ' B', ' A', ' B', ' B', ' D', ' B', ' B', ' B', ' C', ' B', ' A', ' B', ' A', ' B', ' B', ' B', ' A', ' A', ' B', ' B', ' A', ' A', ' B', ' C', ' B', ' B', ' B', ' C', ' C', ' C', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' C', ' B', ' B', ' B', ' B', ' B', ' A', ' C', ' B', ' C', ' B', ' B', ' B', ' A', ' B', ' D', ' A', ' C']","[0.28996341, 0.4691731, 0.18082264, 0.06004085, 0.0076143188899792]",POLIDEOLOGY,Conservative,"[1.0, 2.0, 3.0, 4.0]"
FTRWORRYf_W41,"Question: Still thinking about the future of our country, how worried are you, if at all, about climate change?
A. Very worried
B. Fairly worried
C. Not too worried
D. Not at all worried
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' D', ' A', ' B', ' A', ' D', ' C', ' C', ' C', ' C', ' B', ' B', ' C', ' A', ' D', ' D', ' B', ' C', ' D', ' A', ' C', ' D', ' C', ' C', ' D', ' C', ' A', ' D', ' C', ' A', ' B', ' B', ' D', ' C', ' A', ' D', ' C', ' B', ' B', ' D', ' B', ' D', ' C', ' C', ' B', ' C', ' D', ' B', ' C', ' B', ' C', ' C', ' C', ' C', ' C', ' B', ' C', ' B', ' A', ' A', ' C', ' D', ' C', ' C', ' B', ' A', ' D', ' D', ' C', ' A', ' B', ' B', ' C', ' C', ' D', ' C', ' C', ' B', ' C', ' C', ' A', ' C', ' D', ' C', ' D', ' D', ' B', ' C', ' A', ' B', ' D', ' A', ' B', ' B', ' C', ' A', ' B', ' B', ' C', ' C', ' C']","[0.17994105, 0.24013553, 0.38436454, 0.19555889, 0.0018775843151833]",POLIDEOLOGY,Conservative,"[1.0, 2.0, 3.0, 4.0]"
GUNRESPNOKIDSD_W26,"Question: Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors that there are guns in the house
A. Essential
B. Important but not essential
C. Not important
D. Should not be done
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' D', ' C', ' B', ' B', ' C', ' C', ' D', ' D', ' C', ' C', ' D', ' C', ' D', ' D', ' C', ' C', ' C', ' C', ' C', ' C', ' B', ' C', ' A', ' C', ' C', ' D', ' C', ' C', ' B', ' C', ' B', ' C', ' C', ' B', ' D', ' D', ' A', ' C', ' C', ' A', ' C', ' C', ' C', ' C', ' B', ' C', ' C', ' B', ' A', ' C', ' D', ' A', ' C', ' D', ' C', ' C', ' D', ' D', ' A', ' D', ' C', ' C', ' C', ' C', ' B', ' C', ' B', ' B', ' C', ' D', ' D', ' B', ' C', ' C', ' C', ' D', ' D', ' C', ' A', ' D', ' D', ' C', ' A', ' D', ' A', ' C', ' C', ' C', ' D', ' C', ' C', ' A', ' C', ' D', ' C', ' D', ' B', ' A', ' D', ' C']","[0.14236164, 0.12300243, 0.51198334, 0.22265259, 0.0060514730905771]",POLIDEOLOGY,Conservative,"[1.0, 2.0, 3.0, 4.0]"
GOVPRIORITYd_W54,"Question: How much of a priority should the following be for the federal government to address: Addressing climate change
A. A top priority
B. Important, but lower priority
C. Not too important
D. Should not be done
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' C', ' A', ' B', ' C', ' A', ' B', ' A', ' C', ' B', ' A', ' C', ' C', ' B', ' D', ' A', ' D', ' A', ' D', ' C', ' B', ' B', ' B', ' B', ' B', ' D', ' B', ' C', ' C', ' C', ' A', ' B', ' D', ' A', ' B', ' A', ' C', ' C', ' C', ' B', ' C', ' D', ' A', ' C', ' C', ' D', ' B', ' C', ' B', ' C', ' B', ' C', ' B', ' C', ' B', ' B', ' A', ' B', ' B', ' C', ' C', ' D', ' C', ' C', ' B', ' A', ' B', ' A', ' C', ' B', ' D', ' B', ' C', ' A', ' D', ' B', ' B', ' C', ' B', ' C', ' B', ' C', ' D', ' B', ' D', ' B', ' B', ' C', ' C', ' A', ' C', ' C', ' D', ' A', ' B', ' C', ' D', ' B', ' B', ' B', ' E']","[0.21009301, 0.32248075, 0.33460371, 0.13282253, 0.0122422517579455]",POLIDEOLOGY,Conservative,"[1.0, 2.0, 3.0, 4.0]"
SMLIKESf_W45,"Question: How much is each of the following a reason why you click on links to news stories on social media? The story was surprising or entertaining
A. Major reason
B. Minor reason
C. Not a reason
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' B', ' A', ' A', ' B', ' B', ' A', ' B', ' C', ' A', ' B', ' A', ' A', ' C', ' B', ' B', ' A', ' A', ' C', ' B', ' B', ' B', ' A', ' B', ' C', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' B', ' B', ' A', ' B', ' B', ' B', ' A', ' B', ' A', ' A', ' B', ' C', ' A', ' A', ' B', ' D', ' A', ' A', ' B', ' B', ' B', ' A', ' C', ' A', ' D', ' B', ' B', ' C', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' B', ' A', ' A', ' A', ' B', ' B', ' B', ' B', ' A', ' A', ' B', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' B', ' A', ' A', ' A', ' B', ' B', ' B', ' A', ' A', ' B']","[0.50593389, 0.39052683, 0.10353929, 0.0058519241611774]",POLIDEOLOGY,Conservative,"[1.0, 2.0, 3.0]"
SOLVPROBb_W41,"Question: In the future, what kind of an impact do you think major corporations will have in solving the biggest problems facing the country?
A. A very positive impact
B. A somewhat positive impact
C. A somewhat negative impact
D. A very negative impact
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' C', ' C', ' C', ' B', ' C', ' B', ' A', ' C', ' B', ' B', ' C', ' B', ' C', ' D', ' C', ' B', ' B', ' B', ' C', ' B', ' B', ' C', ' B', ' A', ' D', ' B', ' B', ' A', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' A', ' C', ' B', ' C', ' B', ' C', ' B', ' B', ' B', ' C', ' B', ' C', ' C', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' A', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' C', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' B', ' D', ' A', ' C', ' B', ' B', ' C', ' C', ' C', ' B', ' A', ' B', ' B', ' D', ' B', ' B', ' B', ' B', ' A', ' C', ' A', ' D']","[0.09970404, 0.55481198, 0.29344011, 0.05204388, 0.0136985695963265]",POLIDEOLOGY,Conservative,"[1.0, 2.0, 3.0, 4.0]"
BETTERPOL1F1B_W36,"Question: In general, do you think men or women in high political offices are better at being compassionate and empathetic?
A. Men are better
B. Women are better
C. No difference
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' C', ' C', ' C', ' C', ' B', ' C', ' B', ' C', ' A', ' C', ' A', ' C', ' C', ' B', ' C', ' B', ' B', ' C', ' C', ' B', ' C', ' B', ' B', ' B', ' A', ' C', ' C', ' C', ' B', ' B', ' B', ' C', ' C', ' C', ' B', ' B', ' D', ' C', ' B', ' C', ' C', ' B', ' B', ' B', ' C', ' C', ' B', ' B', ' C', ' C', ' C', ' C', ' C', ' C', ' B', ' A', ' B', ' B', ' C', ' A', ' C', ' B', ' B', ' C', ' B', ' B', ' C', ' C', ' B', ' C', ' B', ' B', ' C', ' B', ' C', ' C', ' C', ' B', ' B', ' B', ' B', ' C', ' B', ' A', ' C', ' C', ' B', ' B', ' B', ' C', ' B', ' C', ' B', ' C', ' A', ' C', ' B', ' B', ' A', ' C']","[0.06881277, 0.49896387, 0.43222336, 0.0046603111866513]",POLIDEOLOGY,Conservative,"[1.0, 2.0, 1.5]"
ELDFINANCEF1_W41,"Question: Who do you think will be mostly responsible for paying for the long-term care older Americans may need?
A. Family members
B. Government
C. Older Americans themselves
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' B', ' B', ' A', ' D', ' A', ' B', ' B', ' C', ' C', ' C', ' B', ' C', ' C', ' B', ' A', ' A', ' A', ' B', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' B', ' C', ' A', ' B', ' C', ' B', ' C', ' A', ' C', ' B', ' A', ' C', ' A', ' A', ' C', ' C', ' A', ' C', ' C', ' B', ' B', ' C', ' B', ' A', ' C', ' C', ' C', ' B', ' A', ' A', ' A', ' A', ' C', ' A', ' B', ' B', ' C', ' B', ' A', ' A', ' C', ' C', ' A', ' A', ' B', ' C', ' A', ' B', ' A', ' B', ' C', ' C', ' B', ' A', ' C', ' A', ' C', ' C', ' B', ' C', ' C', ' A', ' B', ' A', ' C', ' B', ' A', ' A', ' B', ' A', ' A', ' B', ' C']","[0.33631097, 0.27689957, 0.38678946, 0.0091508179850804]",POLIDEOLOGY,Conservative,"[1, 1, 1]"
GOVPRIOc_W41,"Question: If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to providing high-quality, affordable health care to all Americans?
A. A top priority
B. An important, but not a top priority
C. A lower priority
D. Should not be done
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' A', ' A', ' A', ' B', ' B', ' A', ' A', ' C', ' C', ' A', ' C', ' B', ' C', ' A', ' A', ' B', ' A', ' B', ' A', ' A', ' A', ' B', ' A', ' B', ' B', ' D', ' D', ' B', ' A', ' B', ' A', ' A', ' A', ' B', ' A', ' B', ' D', ' D', ' A', ' A', ' C', ' A', ' B', ' A', ' C', ' B', ' A', ' A', ' B', ' A', ' B', ' A', ' A', ' A', ' C', ' B', ' A', ' D', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' B', ' A', ' A', ' A', ' A', ' A', ' B', ' D', ' D', ' A', ' B', ' B', ' A', ' A', ' B', ' B', ' A', ' A', ' B', ' B', ' A', ' A', ' A', ' A', ' B', ' B', ' A', ' A', ' A', ' C', ' B', ' A', ' A', ' B', ' D']","[0.48436157, 0.29742151, 0.11794872, 0.1002682, 0.0008660785512393]",POLIDEOLOGY,Conservative,"[1.0, 2.0, 3.0, 4.0]"
