qkey,input_prompt,output_token,output_dist,attribute,group,ordinal
GAP21Q4_c_W82,"Question: Do you have a favorable or unfavorable opinion of Germany
A. Very favorable
B. Somewhat favorable
C. Somewhat unfavorable
D. Very unfavorable
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' C', ' E', ' B', ' C', ' B', ' C', ' B', ' D', ' B', ' B', ' B', ' C', ' B', ' B', ' A', ' B', ' A', ' C', ' B', ' B', ' B', ' B', ' A', ' C', ' B', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' A', ' B', ' B', ' B', ' A', ' B', ' B', ' A', ' C', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' A', ' C', ' C', ' B', ' B', ' B', ' C', ' D', ' B', ' B', ' D', ' B', ' A', ' C', ' B', ' B', ' B', ' B', ' B', ' A', ' C', ' B', ' C', ' A', ' C', ' B', ' B', ' B', ' C', ' B', ' A', ' C', ' A', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' A', ' A', ' C']","[0.16750873, 0.62739726, 0.18208323, 0.02301078, 0.0111690686014333]",RACE,Asian,"[1.0, 2.0, 3.0, 4.0]"
SATLIFED_W32,"Question: Please tell us whether you are satisfied or dissatisfied with your current job or career.
A. Very satisfied
B. Somewhat satisfied
C. Somewhat dissatisfied
D. Very dissatisfied
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' C', ' C', ' B', ' C', ' C', ' B', ' B', ' C', ' C', ' A', ' B', ' A', ' B', ' B', ' B', ' A', ' E', ' A', ' B', ' B', ' B', ' C', ' B', ' A', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' E', ' A', ' B', ' B', ' B', ' A', ' C', ' C', ' B', ' A', ' B', ' B', ' A', ' B', ' B', ' A', ' C', ' B', ' D', ' A', ' A', ' A', ' B', ' B', ' D', ' A', ' A', ' B', ' A', ' B', ' B', ' A', ' B', ' D', ' E', ' C', ' B', ' B', ' B', ' A', ' C', ' A', ' B', ' C', ' C', ' B', ' B', ' B', ' A', ' B', ' B', ' B', ' B', ' B', ' B', ' D', ' B', ' B', ' C', ' D', ' B', ' B', ' B', ' B', ' B', ' A', ' A', ' B', ' C']","[0.22560485, 0.53400478, 0.16646346, 0.07392691, 0.042449469866092]",RACE,Asian,"[1.0, 2.0, 3.0, 4.0]"
FTRWORRYf_W41,"Question: Still thinking about the future of our country, how worried are you, if at all, about climate change?
A. Very worried
B. Fairly worried
C. Not too worried
D. Not at all worried
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' D', ' D', ' B', ' D', ' A', ' A', ' A', ' B', ' A', ' B', ' B', ' B', ' B', ' B', ' B', ' D', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' D', ' A', ' A', ' A', ' B', ' A', ' A', ' B', ' A', ' B', ' B', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' B', ' B', ' A', ' B', ' A', ' B', ' A', ' C', ' A', ' A', ' B', ' B', ' A', ' A', ' B', ' A', ' A', ' A', ' B', ' A', ' B', ' D', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' B', ' A', ' B', ' B', ' B', ' A', ' B', ' A', ' B', ' A', ' A', ' B', ' C', ' A', ' B', ' A', ' A', ' A', ' B', ' A', ' B']","[0.55374459, 0.28049029, 0.08836358, 0.07740154, 0.0]",RACE,Asian,"[1.0, 2.0, 3.0, 4.0]"
GUNRESPNOKIDSD_W26,"Question: Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors that there are guns in the house
A. Essential
B. Important but not essential
C. Not important
D. Should not be done
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' A', ' B', ' A', ' C', ' C', ' C', ' C', ' A', ' B', ' D', ' C', ' A', ' C', ' B', ' A', ' B', ' B', ' C', ' C', ' B', ' C', ' C', ' A', ' A', ' A', ' A', ' A', ' C', ' B', ' B', ' A', ' C', ' C', ' B', ' A', ' C', ' B', ' A', ' C', ' B', ' B', ' C', ' C', ' C', ' C', ' C', ' C', ' C', ' A', ' B', ' C', ' B', ' A', ' C', ' C', ' B', ' C', ' B', ' D', ' C', ' C', ' C', ' B', ' B', ' B', ' C', ' A', ' C', ' C', ' A', ' C', ' C', ' A', ' C', ' B', ' C', ' B', ' C', ' B', ' B', ' C', ' A', ' A', ' C', ' B', ' A', ' C', ' C', ' C', ' C', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' A', ' A', ' A']","[0.26921684, 0.34204583, 0.3353466, 0.05339074, 0.0]",RACE,Asian,"[1.0, 2.0, 3.0, 4.0]"
GOVPRIORITYd_W54,"Question: How much of a priority should the following be for the federal government to address: Addressing climate change
A. A top priority
B. Important, but lower priority
C. Not too important
D. Should not be done
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' B', ' A', ' A', ' A', ' B', ' B', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' B', ' B', ' B', ' C', ' B', ' B', ' A', ' A', ' A', ' B', ' B', ' A', ' A', ' D', ' A', ' A', ' A', ' B', ' B', ' A', ' B', ' A', ' C', ' B', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' C', ' B', ' A', ' A', ' A', ' B', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' B', ' A', ' A', ' B', ' A']","[0.62437046, 0.28344564, 0.06977521, 0.02240869, 0.0]",RACE,Asian,"[1.0, 2.0, 3.0, 4.0]"
SMLIKESf_W45,"Question: How much is each of the following a reason why you click on links to news stories on social media? The story was surprising or entertaining
A. Major reason
B. Minor reason
C. Not a reason
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' B', ' A', ' A', ' B', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' B', ' A', ' A', ' B', ' C', ' B', ' A', ' A', ' A', ' A', ' A', ' B', ' B', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' B', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' B', ' B', ' A', ' A', ' A', ' B', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' B', ' A', ' B', ' A', ' A', ' B', ' A', ' A', ' A', ' C', ' C', ' A', ' A', ' A', ' B', ' B', ' A', ' B', ' A', ' B', ' C', ' C', ' B', ' A', ' B', ' B', ' A', ' C', ' A', ' A', ' A', ' A', ' B', ' B', ' A', ' B', ' A', ' A', ' B', ' A', ' A', ' A', ' A']","[0.68969374, 0.24626823, 0.06403803, 0.0]",RACE,Asian,"[1.0, 2.0, 3.0]"
SOLVPROBb_W41,"Question: In the future, what kind of an impact do you think major corporations will have in solving the biggest problems facing the country?
A. A very positive impact
B. A somewhat positive impact
C. A somewhat negative impact
D. A very negative impact
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' D', ' C', ' D', ' A', ' C', ' D', ' D', ' C', ' C', ' D', ' B', ' D', ' D', ' B', ' D', ' C', ' B', ' D', ' D', ' A', ' A', ' A', ' C', ' B', ' B', ' B', ' B', ' B', ' C', ' C', ' D', ' A', ' C', ' B', ' C', ' C', ' D', ' B', ' B', ' C', ' C', ' C', ' A', ' C', ' D', ' B', ' A', ' B', ' D', ' C', ' B', ' D', ' C', ' D', ' C', ' C', ' C', ' D', ' C', ' C', ' B', ' D', ' A', ' B', ' C', ' A', ' D', ' B', ' C', ' C', ' D', ' C', ' D', ' B', ' B', ' D', ' C', ' C', ' C', ' B', ' B', ' C', ' D', ' B', ' B', ' C', ' C', ' D', ' D', ' B', ' C', ' B', ' C', ' C', ' C', ' A', ' B', ' C', ' D', ' D']","[0.11199076, 0.28497143, 0.36159651, 0.2414413, 0.0]",RACE,Asian,"[1.0, 2.0, 3.0, 4.0]"
BETTERPOL1F1B_W36,"Question: In general, do you think men or women in high political offices are better at being compassionate and empathetic?
A. Men are better
B. Women are better
C. No difference
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' C', ' C', ' B', ' C', ' C', ' B', ' C', ' C', ' B', ' C', ' C', ' C', ' C', ' B', ' C', ' B', ' C', ' C', ' B', ' B', ' B', ' B', ' C', ' C', ' B', ' B', ' C', ' C', ' C', ' B', ' B', ' B', ' C', ' A', ' A', ' B', ' C', ' C', ' B', ' B', ' C', ' C', ' C', ' B', ' C', ' A', ' B', ' C', ' B', ' B', ' B', ' B', ' A', ' B', ' B', ' C', ' C', ' C', ' B', ' B', ' B', ' C', ' B', ' B', ' A', ' C', ' C', ' C', ' B', ' C', ' B', ' B', ' C', ' B', ' C', ' B', ' B', ' C', ' B', ' B', ' B', ' C', ' B', ' C', ' B', ' C', ' B', ' C', ' C', ' C', ' C', ' C', ' C', ' A', ' B', ' C', ' B', ' B', ' B', ' C']","[0.09456914, 0.41719563, 0.48823523, 0.0]",RACE,Asian,"[1.0, 2.0, 1.5]"
ELDFINANCEF1_W41,"Question: Who do you think will be mostly responsible for paying for the long-term care older Americans may need?
A. Family members
B. Government
C. Older Americans themselves
D. Refused
Answer as a choice between A.,B.,C.,D.

Answer:","[' C', ' B', ' A', ' A', ' C', ' B', ' A', ' A', ' A', ' C', ' A', ' C', ' C', ' B', ' C', ' C', ' B', ' A', ' C', ' C', ' A', ' C', ' B', ' C', ' A', ' B', ' A', ' A', ' C', ' C', ' A', ' C', ' C', ' C', ' B', ' A', ' B', ' B', ' A', ' C', ' C', ' A', ' B', ' A', ' A', ' C', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' C', ' C', ' C', ' C', ' A', ' A', ' A', ' C', ' C', ' C', ' A', ' A', ' C', ' C', ' C', ' C', ' A', ' B', ' B', ' B', ' B', ' A', ' B', ' B', ' B', ' B', ' C', ' A', ' C', ' B', ' C', ' C', ' C', ' A', ' A', ' B', ' C', ' B', ' C', ' B', ' A', ' A', ' B', ' C', ' B', ' A', ' C']","[0.31217865, 0.25282096, 0.43500039, 0.0]",RACE,Asian,"[1, 1, 1]"
GOVPRIOc_W41,"Question: If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to providing high-quality, affordable health care to all Americans?
A. A top priority
B. An important, but not a top priority
C. A lower priority
D. Should not be done
E. Refused
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' A', ' A', ' A', ' C', ' C', ' A', ' A', ' A', ' A', ' A', ' B', ' B', ' A', ' C', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' C', ' A', ' C', ' A', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' C', ' A', ' B', ' B', ' B', ' A', ' B', ' A', ' B', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' C', ' A', ' C', ' A', ' C', ' A', ' A', ' A', ' C', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' B', ' B', ' B', ' A', ' B', ' A', ' B', ' A', ' A', ' B', ' A', ' B', ' C']","[0.68242741, 0.14744372, 0.15013018, 0.01999869, 0.0]",RACE,Asian,"[1.0, 2.0, 3.0, 4.0]"
